batter,player_name,birth_date,bats,throws
669432,Trevor Rogers,1997-11-13,L,L
669450,Cooper Hummel,1994-11-28,S,R
669477,Casey Schmitt,1999-03-01,R,R
669699,Braden Shewmake,1997-11-19,L,R
669701,Josh Smith,1997-08-07,L,R
669707,Jared Triolo,1998-02-08,R,R
669717,Will Wilson,1998-07-21,R,R
669720,Austin Hays,1995-07-05,R,R
669722,Logan Davidson,1997-12-26,S,R
669742,Darick Hall,1995-07-25,L,R
669743,Alex Call,1994-09-27,R,R
669899,Ryan Ward,1998-02-23,L,R
669911,Michael Toglia,1998-08-16,S,L
670032,Nicky Lopez,1995-03-13,L,R
670042,Luke Raley,1994-09-19,L,R
670092,Trenton Brooks,1995-07-03,L,L
670097,Zack Short,1995-05-29,R,R
670128,Taylor Kohlwey,1994-07-20,L,L
670156,Miles Mastrobuoni,1995-10-31,L,R
670223,Matt Mervis,1998-04-16,L,R
670224,Kameron Misner,1998-01-09,L,L
670231,John Rave,1997-12-30,L,L
670242,Matt Wallner,1997-12-12,L,R
670276,Cal Stevenson,1996-09-12,L,L
670541,Yordan Alvarez,1997-06-27,L,R
670623,Isaac Paredes,1999-02-18,R,R
670764,Taylor Walls,1996-07-10,S,R
670770,TJ Friedl,1995-08-14,L,L
670869,Livan Soto,2000-06-22,L,R
671056,Iván Herrera,2000-06-01,R,R
671083,Buddy Kennedy,1998-10-05,R,R
671117,Darren Baker,1999-02-11,L,R
671155,Ivan Johnson,1998-10-11,S,R
671213,Triston Casas,2000-01-15,L,R
671218,Heliot Ramos,1999-09-07,R,R
671221,Drew Waters,1998-12-30,S,R
671277,Luis García Jr.,2000-05-16,L,R
671284,Tim Elko,1998-12-27,R,R
671286,Johnathan Rodríguez,1999-11-04,R,R
671289,Tyler Freeman,1999-05-21,R,R
671655,George Valera,2000-11-13,L,L
671732,Lawrence Butler,2000-07-10,L,R
671739,Michael Harris II,2001-03-07,L,L
671976,Tristan Peters,2000-02-29,L,R
672012,Tyler Black,2000-07-26,L,R
672016,Denzel Clarke,2000-05-01,R,R
672275,Patrick Bailey,1999-05-29,S,R
672279,Michael Siani,1999-07-16,L,L
672284,Jarred Kelenic,1999-07-16,L,L
672356,Gabriel Arias,2000-02-27,R,R
672359,Tirso Ornelas,2000-03-11,L,R
672386,Alejandro Kirk,1998-11-06,R,R
672478,Jordan Diaz,2000-08-13,R,R
672515,Gabriel Moreno,2000-02-14,R,R
672569,Gustavo Campero,1997-09-20,S,R
672580,Maikel Garcia,2000-03-03,R,R
672613,Eliezer Alfonzo,1999-09-23,S,R
672640,Otto Lopez,1998-10-01,R,R
672642,Steward Berroa,1999-06-05,S,R
672695,Geraldo Perdomo,1999-10-22,S,R
672701,José Devers,1999-12-07,L,R
672724,Oswald Peraza,2000-06-15,R,R
672744,Alexander Canario,2000-05-07,R,R
672761,Wenceel Pérez,1999-10-30,S,R
672779,Tucupita Marcano,1999-09-16,L,R
672820,Lenyn Sosa,2000-01-25,R,R
672960,Kazuma Okamoto,1996-06-30,R,R
673237,Yainer Diaz,1998-09-21,R,R
673357,Luis Robert Jr.,1997-08-03,R,R
673490,Ha-Seong Kim,1995-10-17,R,R
673548,Seiya Suzuki,1994-08-18,R,R
673962,Josh Jung,1998-02-12,R,R
673995,Davis Wendzel,1997-05-23,R,R
674441,Jacob Hurtubise,1997-12-11,L,R
675448,Blake Hunt,1998-11-10,R,R
675656,Kevin Smith,1996-07-04,R,R
675659,Greg Jones,1998-03-07,S,R
675915,David Bañuelos,1996-10-01,R,R
675961,Alika Williams,1999-03-12,R,R
676044,Bob Seymour,1998-10-07,L,R
676059,Jordan Westburg,1999-02-18,R,R
676070,Jacob Amaya,1998-09-03,R,R
676113,Zach DeLoach,1998-08-18,L,R
676116,Ryan Noda,1996-03-30,L,L
676356,Jonny DeLuca,1998-07-10,R,R
676369,Nelson Velázquez,1998-12-26,R,R
676391,Ernie Clement,1996-03-22,R,R
676439,Hunter Feduccia,1997-06-05,L,R
676466,Jack Winkler,1998-11-04,R,R
676475,Alec Burleson,1998-11-25,L,L
676480,José Barrero,1998-04-05,R,R
676551,Brewer Hicklen,1996-02-09,R,R
676566,Shawn Ross,1999-09-30,R,R
676572,Eric Wagaman,1997-08-14,R,R
676609,José Caballero,1996-08-30,R,R
676632,Bligh Madris,1996-02-29,L,R
676679,Luis Vázquez,1999-10-10,R,R
