player_id,estimate_2025,se_2025,n_2025,games_2025,information_2025,estimate_2026,se_2026,n_2026,games_2026,information_2026
457705,-0.04679526363405782,0.06651894700641196,978,133,226.78129207778377,0.3089503754814326,0.12681680069330167,157,35,37.416179116211005
467793,-0.019631258709648106,0.08770522208247285,842,122,187.12449279943985,-0.04934054427480387,0.19457570413311526,54,8,9.471026942683125
500743,-0.07113916865944592,0.07549746507943919,488,108,105.04163800498772,-0.3239046404809024,0.11669674805638423,397,94,86.71577502033453
502054,-0.038049396969264765,0.09358766045684667,715,115,160.08354996716042,-0.3412255706040807,0.29794704692693447,45,12,7.929688131559246
502671,0.03604653102275969,0.05948849287256021,988,137,236.1072114026289,-0.09306071685066257,0.08174272962542295,694,97,176.50012486931394
514888,0.15839552348586572,0.052966172616035825,1070,153,259.96704822242765,0.008810759482924098,0.06855350573248763,888,129,213.5277019693039
516782,0.0878695089054329,0.07314342719191949,605,95,145.59891049652768,0.07783179064587169,0.08624485660017818,336,55,70.52611216017235
518595,0.005831217237414804,0.10109383907992892,459,67,97.60768484557359,-0.3499639871469671,0.18852863711555043,151,30,25.8528282549245
518692,-0.013457465594659226,0.050353930501295316,1211,146,268.12470100596056,0.012061439779406203,0.043290770444943824,1302,148,318.2505246980328
519317,0.02541679474192858,0.09133581246458923,495,76,118.96234776557046,0.20302549846379633,0.17974561562701588,172,24,42.05822024903668
521692,0.028876653144975103,0.05841490465827756,1277,154,264.3482085905689,0.04946295060659419,0.06193476980273694,1245,146,290.8175174051049
542303,0.06412973861728025,0.06461781117439547,1011,143,234.65662100478826,0.1310024378476462,0.07775617945330074,522,69,120.83436367480876
543309,0.12442968837341449,0.0782115183002402,568,92,137.39652116775974,0.06291864805650597,0.09450834200837384,326,53,84.16010813242774
543510,0.035078466977414284,0.14353696404223548,241,38,49.310983501139795,0.1174092936729464,0.1006701585986419,273,42,71.73982058852934
543760,-0.020113625486247014,0.07866824757593956,966,127,232.49921194023472,-0.035647466988305856,0.06262045320235894,965,134,227.82252802831727
543807,0.0750257387223946,0.06321214887033837,1025,136,260.1073830803871,0.0831261288090758,0.05969527630289562,933,120,211.24653422879743
543877,0.11894076851700155,0.10801407691524868,349,62,69.97628249190845,0.08711928790912316,0.0762066617229581,468,82,98.10370465747499
545121,0.07386957837690962,0.1429321831858049,209,36,41.76048080126253,0.11496154230029372,0.06873183171237678,796,127,171.6438985568089
545341,-0.06843361240931999,0.14921196634006118,513,109,120.8449417056093,0.03299184937908315,0.09326224340895697,497,107,127.03230383767347
545361,-0.0063708496470508864,0.07208816622517468,952,130,210.5677870407227,0.058703031186682006,0.07825151712079419,1026,137,218.16260894432074
547180,0.02726476343562869,0.0490770469667577,1147,132,306.0254539769398,0.02087534831258554,0.045807724374111077,1285,154,330.0841473239957
553869,0.20676417664433303,0.1026231298807957,531,96,116.50980955157831,-0.01851062943695652,0.09321570031929857,476,71,98.90932300178589
553993,0.0590434138279613,0.06161124655602529,1281,157,302.75346603508865,0.09043719921275895,0.07680535193119545,889,120,189.0045133743667
571448,0.01506212610378178,0.08124697747714686,771,106,182.84483362147253,0.12029623440790937,0.05190659302117517,1030,144,240.80842616952236
571771,0.025657456205636642,0.0737792924550963,517,84,135.79218979331003,0.1035588627523823,0.14708219065672568,164,33,34.68384642469093
571912,0.07814873854691314,0.24060871811562096,91,19,17.880139005138805,-0.11230762446590306,0.12207023887579495,70,15,19.89948828545152
571970,-0.02921041813789061,0.06748481151099076,672,99,167.28525229852414,-0.11495862152867374,0.07789314436118171,951,143,221.43887008525593
