season,analytic_swings,swings_with_prior_same_type_from_other_pitcher,first_type_from_current_pitcher_swings,first_type_from_current_pitcher_with_cross_pitcher_history,hitters_with_strict_cross_pitcher_history,games_with_strict_cross_pitcher_history
2025,328082,74261,116852,31304,637,2422
2026,316713,74237,117804,32361,630,2328
