player_id,player_name,n_exposures,posterior_mean,posterior_median,posterior_sd,cri90_low,cri50_low,cri50_high,cri90_high,prob_above_league_mean,prob_above_league_median,prob_positive,prob_top_quartile,prob_top_decile,prob_bottom_decile,rank_median,rank_cri50_low,rank_cri50_high,rank_cri90_low,rank_cri90_high,rank_population_size
696285,Jacob Young,207,0.08955284447911543,0.08805695106529743,0.04316114206824437,0.020951742107939292,0.059789394938797966,0.11724006563770734,0.16285434665514772,0.9446,0.9444,0.9884,0.8122,0.5692,0.0012,40.0,12.0,102.0,2.0,269.0,520
595879,Javier Báez,331,0.08273026073370562,0.08047557043230097,0.043659506181427395,0.01543327808735176,0.052334562451056596,0.11123479670282589,0.15869071480435776,0.927,0.926,0.979,0.7548,0.4938,0.0018,53.5,16.0,128.0,2.0,298.0500000000002,520
592206,Nick Castellanos,472,0.07707015905785297,0.07530379511310237,0.04149839010541202,0.01281954592457804,0.048004733378342566,0.10376966044849954,0.14845975371870898,0.9122,0.9106,0.977,0.7202,0.452,0.0026,63.0,23.0,144.0,3.0,312.0500000000002,520
665161,Jeremy Peña,338,0.07525484815063742,0.07293303228079061,0.04238749787615024,0.010059063165838418,0.045286352450978506,0.1032048194932551,0.14812297657251597,0.9004,0.9018,0.9752,0.6988,0.4264,0.0038,70.0,24.0,155.0,4.0,322.0,520
621439,Byron Buxton,406,0.06918131020352669,0.06774200704165564,0.04158737586147384,0.0037384743492005616,0.04085598292193675,0.09609630542145003,0.1403684293194933,0.8736,0.8752,0.96,0.6382,0.3702,0.006,85.0,31.0,178.0,5.0,354.0,520
701398,Sal Stewart,41,0.06707664000205991,0.0648506061386211,0.048045783903142195,-0.007075698257633778,0.0353720203224267,0.09579216822892644,0.15164938644102616,0.8296,0.8312,0.9282,0.6086,0.3592,0.014,91.0,30.75,202.25,4.0,393.0,520
666969,Adolis García,356,0.06551709490058932,0.06328980775312493,0.04086207305519177,0.001755482746432746,0.03777522240552311,0.09183070813729355,0.13567109997459662,0.8602,0.8614,0.9536,0.6086,0.3288,0.005,96.0,36.0,190.0,6.0,363.0,520
691720,Kyle Karros,105,0.06221491087776177,0.060117082502869165,0.04485404259761163,-0.0075779815265964645,0.031343410008437975,0.09067975433317496,0.14066420495173812,0.811,0.8138,0.9282,0.573,0.3134,0.0126,106.0,37.75,220.0,6.0,396.0500000000002,520
683146,Brett Baty,281,0.06127006584276163,0.059952567090688524,0.041715855261467746,-0.0034783912181004808,0.03193099516961382,0.0881885354550054,0.1331306855534622,0.823,0.8232,0.9376,0.567,0.3038,0.0084,107.0,43.0,213.25,7.0,375.0,520
669127,Shea Langeliers,356,0.06095209173866625,0.05974259202185447,0.038659268052286005,-0.0004884379516603923,0.03470148553909186,0.08578844422206758,0.12699109704091494,0.8406,0.842,0.9484,0.5768,0.2806,0.0056,105.0,46.0,203.25,9.0,369.0,520
