model,outcome,season,player_id,player_name,prior_same_type_pitches,change_ci90_low,change_median,change_ci90_high
pooled_geometry,distortion,2025,455117,Martín Maldonado,0,0.0,0.0,0.0
pooled_geometry,distortion,2025,455117,Martín Maldonado,1,-0.05622894846574978,-0.01909985702429738,0.016903741405359423
pooled_geometry,distortion,2025,455117,Martín Maldonado,2,-0.0891207747731958,-0.03027255715264692,0.026791796249382226
pooled_geometry,distortion,2025,455117,Martín Maldonado,3,-0.11245789693149956,-0.03819971404859476,0.033807482810718846
pooled_geometry,distortion,2025,455117,Martín Maldonado,4,-0.13055957518859806,-0.044348494633047825,0.03924927207781483
pooled_geometry,distortion,2025,455117,Martín Maldonado,5,-0.14534972323894557,-0.04937241417694431,0.04369553765474165
pooled_geometry,distortion,2025,455117,Martín Maldonado,6,-0.15785461523744604,-0.053620077627757765,0.0474548016355247
pooled_geometry,distortion,2025,455117,Martín Maldonado,7,-0.16868684539724935,-0.057299571072892144,0.05071122421607827
pooled_geometry,distortion,2025,455117,Martín Maldonado,8,-0.1782415495463916,-0.06054511430529384,0.05358359249876445
pooled_geometry,distortion,2025,456781,Donovan Solano,0,-0.0,0.0,0.0
pooled_geometry,distortion,2025,456781,Donovan Solano,1,-0.053468396343435046,-0.01867528864710813,0.014422613097598203
pooled_geometry,distortion,2025,456781,Donovan Solano,2,-0.08474540317804075,-0.029599632195809918,0.022859300922102952
pooled_geometry,distortion,2025,456781,Donovan Solano,3,-0.10693679268687009,-0.03735057729421626,0.028845226195196406
pooled_geometry,distortion,2025,456781,Donovan Solano,4,-0.12414977165839455,-0.04336267738985136,0.03348827055300372
pooled_geometry,distortion,2025,456781,Donovan Solano,5,-0.13821379952147578,-0.04827492084291804,0.03728191401970115
pooled_geometry,distortion,2025,456781,Donovan Solano,6,-0.15010476564926917,-0.052428163504305486,0.040489393868474784
pooled_geometry,distortion,2025,456781,Donovan Solano,7,-0.16040518903030512,-0.056025865941324374,0.04326783929279461
pooled_geometry,distortion,2025,456781,Donovan Solano,8,-0.1694908063560815,-0.059199264391619835,0.045718601844205904
pooled_geometry,distortion,2025,457705,Andrew McCutchen,0,-0.0,0.0,0.0
pooled_geometry,distortion,2025,457705,Andrew McCutchen,1,-0.041187512056992684,-0.008648566036446564,0.02567537106055969
pooled_geometry,distortion,2025,457705,Andrew McCutchen,2,-0.06528066210833389,-0.013707652852778406,0.040694500323088294
pooled_geometry,distortion,2025,457705,Andrew McCutchen,3,-0.08237502411398537,-0.01729713207289313,0.05135074212111938
pooled_geometry,distortion,2025,457705,Andrew McCutchen,4,-0.09563444140364329,-0.020081348460513918,0.059616365412171475
pooled_geometry,distortion,2025,457705,Andrew McCutchen,5,-0.10646817416532657,-0.02235621888922497,0.06636987138364799
pooled_geometry,distortion,2025,457705,Andrew McCutchen,6,-0.1156279647005053,-0.024279594431158485,0.07207987932251761
pooled_geometry,distortion,2025,457705,Andrew McCutchen,7,-0.12356253617097804,-0.02594569810933969,0.07702611318167907
pooled_geometry,distortion,2025,457705,Andrew McCutchen,8,-0.13056132421666777,-0.027415305705556812,0.08138900064617659
pooled_geometry,distortion,2026,457705,Andrew McCutchen,0,-0.0,0.0,0.0
pooled_geometry,distortion,2026,457705,Andrew McCutchen,1,-0.07158994553389708,-0.0283762998315156,0.01102934662329598
pooled_geometry,distortion,2026,457705,Andrew McCutchen,2,-0.1134673790998969,-0.04497537114217229,0.017481100805379637
pooled_geometry,distortion,2026,457705,Andrew McCutchen,3,-0.14317989106779416,-0.0567525996630312,0.02205869324659196
pooled_geometry,distortion,2026,457705,Andrew McCutchen,4,-0.1662267058466117,-0.0658877278077436,0.025609349792881996
pooled_geometry,distortion,2026,457705,Andrew McCutchen,5,-0.18505732463379398,-0.07335167097368789,0.028510447428675617
pooled_geometry,distortion,2026,457705,Andrew McCutchen,6,-0.20097838596442177,-0.07966234500178768,0.030963290529989383
pooled_geometry,distortion,2026,457705,Andrew McCutchen,7,-0.21476983660169127,-0.0851288994945468,0.03308803986988794
pooled_geometry,distortion,2026,457705,Andrew McCutchen,8,-0.2269347581997938,-0.08995074228434458,0.034962201610759275
pooled_geometry,distortion,2025,457759,Justin Turner,0,-0.0,0.0,0.0
pooled_geometry,distortion,2025,457759,Justin Turner,1,-0.058350644691767324,-0.022086816989591782,0.0125207671726749
pooled_geometry,distortion,2025,457759,Justin Turner,2,-0.09248358372935521,-0.035006776688793914,0.019844946448950174
pooled_geometry,distortion,2025,457759,Justin Turner,3,-0.11670128938353465,-0.044173633979183564,0.0250415343453498
pooled_geometry,distortion,2025,457759,Justin Turner,4,-0.13548600126460467,-0.05128400089476867,0.029072321067777258
pooled_geometry,distortion,2025,457759,Justin Turner,5,-0.15083422842112254,-0.05709359367838569,0.032365713621625075
pooled_geometry,distortion,2025,457759,Justin Turner,6,-0.1638109695806674,-0.062005534388316005,0.035150237350146156
pooled_geometry,distortion,2025,457759,Justin Turner,7,-0.17505193407530198,-0.06626045096877534,0.0375623015180247
pooled_geometry,distortion,2025,457759,Justin Turner,8,-0.18496716745871042,-0.07001355337758783,0.03968989289790035
pooled_geometry,distortion,2025,467793,Carlos Santana,0,0.0,0.0,0.0
pooled_geometry,distortion,2025,467793,Carlos Santana,1,-0.048232932880560506,-0.01478644339952713,0.019981302830611194
pooled_geometry,distortion,2025,467793,Carlos Santana,2,-0.07644738991548888,-0.023435958307286356,0.03166961570207224
pooled_geometry,distortion,2025,467793,Carlos Santana,3,-0.09646586576112101,-0.02957288679905426,0.03996260566122239
pooled_geometry,distortion,2025,467793,Carlos Santana,4,-0.11199340195418987,-0.03433305835282384,0.04639514841484851
