endpoint,model,training_pitches,training_hitters,scaled_beta_context_logit,scaled_beta_log_pair_pitches,scaled_beta_prior_pair_contact_rate,scaled_beta_prior_pair_swing_rate,scaled_beta_current_type_SI,scaled_beta_current_type_FC,scaled_beta_current_type_SL,scaled_beta_current_type_ST,scaled_beta_current_type_CU,scaled_beta_current_type_CH,scaled_beta_current_type_FS,scaled_beta_current_type_OTHER,scaled_beta_log_pair_type_pitches,scaled_beta_log_other_type_pitches,scaled_beta_prior_other_type_contact_rate,scaled_beta_prior_other_type_swing_rate,scaled_beta_log_other_type_tracked,scaled_beta_prior_other_type_dev_mean
contact_per_pitch,other_pitcher_outcomes,376534,586,0.5014479607730961,0.02805594977764526,0.06049866314558625,-0.02496486731453405,0.030607674085271413,-0.0025065217168160326,-0.11061971686507416,-0.11059925406078128,-0.11813686252414755,-0.09577058868181636,-0.05629765663904453,-0.06097054928414502,0.055612349520999214,-0.004147272966326007,0.009979768330716449,0.005207464150251443,0.009385774389567888,
contact_per_pitch,other_pitcher_mechanics,376534,586,0.5014311781393229,0.028053202579449425,0.06047429992934815,-0.024945239412383264,0.030581697210771606,-0.0025258357071125848,-0.11063664490171154,-0.11061931940683375,-0.11816447601440283,-0.09576828344812655,-0.05629605137990805,-0.06097708099764394,0.0556144152351688,-0.003924710611739107,0.009598400952398953,0.005628054140704664,0.009362648746659874,-0.00291744806509448
contact_given_swing,other_pitcher_outcomes,178462,585,0.35082447119289806,0.10208981801777241,0.14417329168058787,-0.08362677597914811,0.1819045043601551,-0.057200741937356574,-0.22793114811988383,-0.1651682491505962,-0.13698992167322432,-0.1996802608585041,-0.12754068769546315,-0.08952124787546963,0.0016424960135314347,0.018058469946381214,0.025767142537502563,-0.01752266979226435,0.014363062929001436,
contact_given_swing,other_pitcher_mechanics,178462,585,0.3508545534035588,0.10210074195430034,0.14416538745167978,-0.08360307250555042,0.18183775709382088,-0.05726580962081687,-0.22796413773874097,-0.16524853101105044,-0.13708781126287065,-0.19972586217191762,-0.12758212670448185,-0.08954835872887462,0.0016564261397555846,0.01801505484185018,0.024019261132980432,-0.016249752435786177,0.015037189039948691,-0.0123319193022679
