season,outcome,model,tracked_swings,type_groups,games,hitters,beta_deviation_per_log_dose,ci95_low,ci95_high,x_information
2025,adj_distortion,type_fixed_effect,249774,85210,2425,665,-0.03982387007609516,-0.04786371728964748,-0.03200295174120879,63571.56907969209
2025,adj_distortion,type_fe_plus_general_exposure,249774,85210,2425,665,-0.06846122921003317,-0.07981371052170445,-0.05748673529161475,63571.56907969209
2025,adj_distortion,type_fe_plus_same_pitcher_control,249774,85210,2425,665,-0.04932344350963851,-0.0647533260343295,-0.035316530548385114,63571.56907969209
2025,adj_absz_attack_angle,type_fixed_effect,249774,85210,2425,665,-0.024403249454386853,-0.029466908587703025,-0.019318634924232192,63571.56907969209
2025,adj_absz_attack_angle,type_fe_plus_general_exposure,249774,85210,2425,665,-0.03297943588482272,-0.040733533293265,-0.02552283576332637,63571.56907969209
2025,adj_absz_attack_angle,type_fe_plus_same_pitcher_control,249774,85210,2425,665,-0.019273085389742973,-0.028224489885902225,-0.010094437424884134,63571.56907969209
2025,adj_absz_attack_direction,type_fixed_effect,249774,85210,2425,665,-0.04025203921077072,-0.045238567319100864,-0.0351384772685352,63571.56907969209
2025,adj_absz_attack_direction,type_fe_plus_general_exposure,249774,85210,2425,665,-0.05236705351142148,-0.06015802404845491,-0.04431469146709328,63571.56907969209
2025,adj_absz_attack_direction,type_fe_plus_same_pitcher_control,249774,85210,2425,665,-0.03143248742579877,-0.041410985323476854,-0.021427059219468123,63571.56907969209
2025,adj_absz_swing_path_tilt,type_fixed_effect,249774,85210,2425,665,-0.012200747006119183,-0.01879636675324354,-0.006115510470109867,63571.56907969209
2025,adj_absz_swing_path_tilt,type_fe_plus_general_exposure,249774,85210,2425,665,-0.02161750376221763,-0.029780901001061028,-0.012981298171520942,63571.56907969209
2025,adj_absz_swing_path_tilt,type_fe_plus_same_pitcher_control,249774,85210,2425,665,-0.013848287710144869,-0.02411182018403701,-0.004045447876339495,63571.56907969209
2025,adj_absz_bat_speed,type_fixed_effect,249774,85210,2425,665,-0.023914913424098457,-0.03030471080103334,-0.017708978131703756,63571.56907969209
2025,adj_absz_bat_speed,type_fe_plus_general_exposure,249774,85210,2425,665,-0.036406257263454804,-0.046586853628000295,-0.027057311453053273,63571.56907969209
2025,adj_absz_bat_speed,type_fe_plus_same_pitcher_control,249774,85210,2425,665,-0.03479496417928805,-0.04635428998809121,-0.022600132296140246,63571.56907969209
2025,adj_absz_swing_length,type_fixed_effect,249774,85210,2425,665,-0.02672563954175285,-0.0318231267683382,-0.02155819938456046,63571.56907969209
2025,adj_absz_swing_length,type_fe_plus_general_exposure,249774,85210,2425,665,-0.037672433084456676,-0.04631919418570004,-0.029280724281309112,63571.56907969209
2025,adj_absz_swing_length,type_fe_plus_same_pitcher_control,249774,85210,2425,665,-0.025087197056818777,-0.03536042140725868,-0.014068124772279743,63571.56907969209
2026,adj_distortion,type_fixed_effect,238111,82570,2329,651,-0.04424829711899619,-0.052742229046347934,-0.03559796871591012,59921.91740642335
2026,adj_distortion,type_fe_plus_general_exposure,238111,82570,2329,651,-0.05903567775498548,-0.07123250500190795,-0.046583323097011506,59921.91740642335
2026,adj_distortion,type_fe_plus_same_pitcher_control,238111,82570,2329,651,-0.035891800051884845,-0.0500175113380487,-0.021557956110094603,59921.91740642335
2026,adj_absz_attack_angle,type_fixed_effect,238111,82570,2329,651,-0.028027707187664973,-0.033988892356408416,-0.022615241215655845,59921.91740642335
2026,adj_absz_attack_angle,type_fe_plus_general_exposure,238111,82570,2329,651,-0.03295666629785942,-0.041682718265182,-0.024292504448912382,59921.91740642335
2026,adj_absz_attack_angle,type_fe_plus_same_pitcher_control,238111,82570,2329,651,-0.02057965744041725,-0.031390728743827166,-0.009977453154912113,59921.91740642335
2026,adj_absz_attack_direction,type_fixed_effect,238111,82570,2329,651,-0.03295699375296071,-0.03879586126464279,-0.027414434808448438,59921.91740642335
2026,adj_absz_attack_direction,type_fe_plus_general_exposure,238111,82570,2329,651,-0.040303203404640595,-0.04866432939392936,-0.03186894679823347,59921.91740642335
2026,adj_absz_attack_direction,type_fe_plus_same_pitcher_control,238111,82570,2329,651,-0.02230552189446954,-0.03319427821466545,-0.012106683682786185,59921.91740642335
2026,adj_absz_swing_path_tilt,type_fixed_effect,238111,82570,2329,651,-0.023200018946142712,-0.03077614549997903,-0.015509262015864219,59921.91740642335
2026,adj_absz_swing_path_tilt,type_fe_plus_general_exposure,238111,82570,2329,651,-0.031480104443404995,-0.041228348733689676,-0.022041095067080244,59921.91740642335
2026,adj_absz_swing_path_tilt,type_fe_plus_same_pitcher_control,238111,82570,2329,651,-0.02422256129451924,-0.03617853676972164,-0.013326982149155684,59921.91740642335
2026,adj_absz_bat_speed,type_fixed_effect,238111,82570,2329,651,-0.02247673356730762,-0.029027626060083127,-0.01621692063841289,59921.91740642335
2026,adj_absz_bat_speed,type_fe_plus_general_exposure,238111,82570,2329,651,-0.02446174331454325,-0.03495099633974204,-0.013987429234267318,59921.91740642335
2026,adj_absz_bat_speed,type_fe_plus_same_pitcher_control,238111,82570,2329,651,-0.020058336492424125,-0.03237801165698889,-0.008405844205076424,59921.91740642335
2026,adj_absz_swing_length,type_fixed_effect,238111,82570,2329,651,-0.021929259661794497,-0.02829559253317484,-0.015650477368391816,59921.91740642335
2026,adj_absz_swing_length,type_fe_plus_general_exposure,238111,82570,2329,651,-0.02125330782069673,-0.030953350141570742,-0.012281727630923186,59921.91740642335
2026,adj_absz_swing_length,type_fe_plus_same_pitcher_control,238111,82570,2329,651,-0.007089861149198659,-0.018416774267855374,0.004091922789249151,59921.91740642335
