season,covariate,unit,earlier_mean,later_mean,mean_difference,mean_absolute_difference,max_absolute_difference,pooled_sd,standardized_mean_difference,ci90_low,ci90_high
2025,release_speed,mph,91.83590429387193,91.75970741028482,-0.07619688358712703,0.6676860464380142,2.0,5.019058182220849,-0.015181510319414386,-0.12610675888866138,-0.027925575447042376
2025,pfx_x,ft,-0.19897606425938455,-0.1959441494905053,0.0030319147688792425,0.07284574260925279,0.14999999105930328,0.8642587401204909,0.0035081100463693862,-0.0022330991850960462,0.008504381475292401
2025,pfx_z,ft,0.8309441491852495,0.8319547860164869,0.0010106368312374392,0.06999999606496397,0.14999999850988388,0.6671510949355052,0.0015148544893494322,-0.003970906989857946,0.005920162633661035
2025,plate_x_front,ft,-0.012264347511421527,-0.013247235566036289,-0.0009828880546147627,0.1441843109586966,0.3465069718658924,0.48565922088432684,-0.0020238224918802984,-0.01119250931038154,0.009141627079932003
2025,plate_z_front,ft,2.538160210059203,2.535150194510897,-0.0030100155483059427,0.14962803922157655,0.34834861755371094,0.6735625430019341,-0.00446879889563173,-0.013504379548790002,0.007563640871114599
2025,release_pos_x,ft,-0.8513031889872744,-0.8461835106458278,0.0051196783414467215,0.08046542688649386,0.24000012874603271,1.848268608835679,0.0027699860923742436,-0.0008564912460416084,0.011138043733897504
2025,release_pos_z,ft,5.767273930476067,5.756542558999771,-0.010731371476295147,0.05549202098491344,0.2200002670288086,0.4670847132218379,-0.022975214500754543,-0.01482106388790181,-0.00642410159893137
2026,release_speed,mph,92.14206585912648,92.05254487363165,-0.08952098549483065,0.7080837638078336,2.0,5.447356966622493,-0.016433838656682718,-0.14640146271235388,-0.033171815117140104
2026,pfx_x,ft,-0.21973053896297773,-0.22203592752234755,-0.0023053885593698055,0.06952095682269888,0.14999999850988388,0.8919627713161863,-0.002584624194536683,-0.0074024117871832615,0.002779450952641799
2026,pfx_z,ft,0.8001197613273819,0.7991616756287209,-0.0009580856986611547,0.070359279577269,0.14999999664723873,0.646452969041196,-0.0014820655864295359,-0.006008915203521389,0.0041066123627528095
2026,plate_x_front,ft,0.01335948592133424,0.002870135766772615,-0.010489350154561627,0.14605914334033568,0.3498658388853073,0.4980657921173727,-0.02106016980200427,-0.02157435778194846,0.0007118385005398285
2026,plate_z_front,ft,2.5313805233754083,2.526124547252398,-0.005255976123010327,0.14837018672577634,0.3450744152069092,0.6557067801419119,-0.00801574161223832,-0.01639186347101976,0.005632945510627119
2026,release_pos_x,ft,-0.6998502968414547,-0.6969011988836581,0.002949097957796679,0.08166167863315629,0.25,1.9488787874212412,0.0015132280041381789,-0.0036805601993924186,0.009168576184974138
2026,release_pos_z,ft,5.733458081048406,5.720868260203721,-0.012589820844684532,0.0549251562107109,0.24000024795532227,0.4831352260142448,-0.026058586016481713,-0.01696007506485928,-0.008277353184373663
