latent_correlation,latent_sd_early,latent_sd_late
0.047851892619385106,0.053670994389942946,0.013399310865000354
-0.03535224977813519,0.05503344386041601,0.0416358106231311
0.2894309157652987,0.05359010185624957,0.04093050385806061
0.9989995977858408,0.05770848839764836,0.001966498251046054
-0.42480711744584215,0.05587472623289672,0.034504259501642806
0.08638408973285276,0.05325559382787291,0.04216878038510336
0.15013828028784978,0.04156525526549285,0.03932702008307761
-0.0076716851459141585,0.05944264948105323,0.021808906684971836
-0.183804765930779,0.03221883322558376,0.02984261524303486
0.6421284504144337,0.03177296472958091,0.054834735416444874
0.48264986105538554,0.0527488667724821,0.05246393370971197
0.8237725624498041,0.05075834701222196,0.030154817791274702
0.26220904394299305,0.031036179675695448,0.057741992840518445
0.238562562671423,0.06280920635867798,0.05700707683868661
-0.17227749313345228,0.04762510907346749,0.05195382118469205
-0.9989995977858408,0.0492994852282436,0.046107605101158494
0.068927341179473,0.04407375429528203,0.041357535155871455
-0.28022312369534336,0.04912062531569483,0.05342409667607426
-0.8387190669997351,0.04275906353588934,0.04876109338014401
-0.868473172903581,0.0513965854496834,0.010344154450187498
0.4029705727531886,0.053580975098998423,0.033048269551281984
0.1810428265508499,0.03720941230955101,0.04315152195431274
0.5995304911826967,0.027447438258697,0.04555211706591038
0.08724178834516884,0.06585725451293274,0.04196647732927471
0.45732824690034884,0.040666078380672925,0.05038887920861159
-0.9989995977858408,0.05633666798711707,0.004055856713209392
-0.6266183566205206,0.02205131073925008,0.03667319990747911
-0.1583236139458269,0.03361764712095815,0.037769773748407766
-0.6337716734599523,0.043567488271719204,0.0398825098180712
0.254766568487708,0.04164522057158829,0.06313310376396584
0.9989995977858408,0.014331426955040626,0.04323319119310646
0.027402812399151287,0.06065643521768613,0.05255495063327766
0.3610318525218078,0.057456427375488554,0.035736623810213045
-0.43078153041125866,0.06159141497292424,0.05226866796580059
0.08655328037577605,0.05226600727637832,0.04471451824460763
-0.8560505655717835,0.02781109211235841,0.03242917828560495
-0.03642886207517989,0.018662584378398368,0.045962377125171164
-0.9408043697777405,0.014506228318095102,0.04016795930894661
0.22846624379453082,0.03188921093027921,0.03404624436200377
-0.41437295440558913,0.041693227548237545,0.05183355973867626
0.9989995977858408,0.04261055203028262,0.00673269239775294
0.13052009684603325,0.052588805230005885,0.04579578066152511
-0.5687482424046614,0.05619118824105251,0.04560873601606937
0.6925605127848058,0.05437759847051302,0.052769148754093886
-0.8851974538825275,0.04434618541438857,0.024103116871430668
0.24536742000074482,0.03850877645624314,0.04440716497851564
0.020956988463759405,0.03978559713641975,0.04571438266291899
-0.07048025745346527,0.05911101612803292,0.04213195613540696
0.9989995977858408,0.057552564009455666,0.0038368515968730415
-0.5712625082362112,0.05577698067488636,0.04052717631655725
0.9989995977858408,0.033585946282665785,0.023984394517398783
0.6172515014928539,0.049035247099752946,0.02677429217002165
0.3766466542184785,0.060144063860257294,0.05137323376738134
0.24321248563045547,0.070934062700943,0.06652449258563688
-0.04749964444227788,0.04797685326577846,0.03830219435486078
0.10666378377788904,0.051690325199390326,0.03677032136174059
-0.9989995977858408,0.03970431047466508,0.011466229769953339
0.08899530467550952,0.050749337360469306,0.030318159657423332
-0.6808022257283183,0.03255493118441552,0.0630890516128964
-0.3762476907612636,0.05848576895886117,0.03375284955115031
0.17968114211681815,0.05695701183462591,0.042624905253542046
0.14310890976747334,0.05238747162032757,0.055645530233477354
-0.041419353286541026,0.03924242933360485,0.04508251720671058
-0.6255723155642946,0.03699947911089258,0.05734969613701986
-0.9989995977858408,0.04247623553167505,0.06439501046791371
0.5009405771645952,0.03965057748809012,0.043435043337659386
-0.7400958551064292,0.052106791367592414,0.032411217685649425
0.9989995977858408,0.030992257021107698,0.01614895236940768
-0.9365751165396038,0.05179310571829708,0.045712136637620936
-0.5415231516737671,0.03700023314240387,0.05842523994665303
-0.04383436324927658,0.05755341579456119,0.03848159327111036
0.9989995977858408,0.0338182496105785,0.022114347055240947
0.9989995977858408,0.03415803976983052,0.03608411145662299
0.9989995977858408,0.053806206103142774,0.0031975709742920804
0.1170567074290017,0.060382814738788516,0.04888117508189379
-0.2643278713944674,0.0440053253945594,0.03425517617785329
0.24020432454335203,0.05659330870072633,0.04810176150293318
0.9920674368658569,0.05477210459656791,0.02781038323632307
-0.15350463958245456,0.048435219254558445,0.05292893615300315
-0.9989995977858408,0.020017050516810436,0.047930306640647895
0.6804034805927708,0.04644597306510235,0.022503359858323392
-0.920676090321701,0.040399838630083035,0.04365129646774981
0.09760308848363868,0.015495598374900416,0.04679223428469179
0.11856014617940275,0.027381871586352073,0.034391648949849245
0.2954174951340038,0.04075171379204231,0.04825251134756153
0.3599490932000853,0.0492210634076122,0.04399555879977117
0.20597048387293654,0.06083046196357663,0.053066287483737595
0.5007819879952194,0.03229708274584951,0.03674050754456769
0.5851152340039797,0.06802481168911197,0.030874687266522653
0.17474532486617494,0.05173831805500008,0.03805213844896632
-0.9989995977858408,0.051043531387016804,0.0314288118151023
-0.2237754683549688,0.029889195262235227,0.05042525421477664
-0.05161336492749206,0.01750348174257304,0.0649658417049011
0.6982311643245097,0.045902729703793686,0.030343040951937364
-0.08705677345471043,0.05765382425388795,0.036495879551376634
0.04272198785809808,0.06435071306422938,0.05119046170492502
-0.15240719553340615,0.03330082852615619,0.04913228254795212
0.542810920248846,0.03747257454595855,0.04960544034756967
-0.2645006525645674,0.06158251727741544,0.052077926334529734
0.1418776303874835,0.0522526532305095,0.03784721506002704
