stage,specification,x,y,restriction,high_information,negative_control,method,endpoint,estimate,ci90_low,ci90_high,permutation_p_positive,permutation_p_two_sided,permutation_null_mean,permutations,bootstrap_replicates,shared_players,median_n_a,median_n_b,min_n_a,min_n_b,median_games_a,median_games_b,median_information_a,median_information_b,median_se_a,median_se_b,median_shrinkage_a,median_shrinkage_b,score_se_spearman_a,score_se_spearman_b,se_stability_spearman,top_quartile_baseline_n,status,bh_q_positive,bh_q_two_sided,by_q_positive,family_tests
confirmation,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,spearman,0.03275605407641469,-0.05437379863228596,0.12036295964813393,0.259,0.5294,0.0,9999,500,367,374.0,312.0,45,43,56.0,50.0,47.10853865047184,46.63798028055625,0.12980963881027144,0.12593120243176179,0.12672742089111566,0.22392309973789948,-0.04399947756947452,-0.007744207138848051,0.24857982408268775,80,ok,0.518,0.7058666666666666,1.0,4
confirmation,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,spearman,0.04108386854948815,-0.04185869295458926,0.12151153626482009,0.2213,0.442,0.0,9999,500,367,374.0,312.0,45,43,56.0,50.0,47.10853865047184,46.63798028055625,0.12980963881027144,0.12593120243176179,0.12672742089111566,0.22392309973789948,-0.03378149391824836,-0.017359647776951297,0.24857982408268775,92,ok,0.518,0.7058666666666666,1.0,4
confirmation,absz_swing_length__log_kernel_h1_m5,log_kernel_h1_m5,absz_swing_length,all,False,False,unpooled,spearman,-0.012326884197156347,-0.09256707440924171,0.07611937891118445,0.5802,0.821,0.0,9999,500,367,374.0,312.0,45,43,56.0,50.0,15.078436830431034,13.801072206380038,0.1607984471841258,0.16921431998427103,0.15197385654043086,0.10250646143939464,-0.012180496833371851,0.031925797386293676,0.3559747407754112,89,ok,0.7736000000000001,0.821,1.0,4
confirmation,absz_swing_length__log_kernel_h1_m5,log_kernel_h1_m5,absz_swing_length,all,False,False,pooled,spearman,-0.05246275497619931,-0.140922724904934,0.026858964737771964,0.8424,0.3155,0.0,9999,500,367,374.0,312.0,45,43,56.0,50.0,15.078436830431034,13.801072206380038,0.1607984471841258,0.16921431998427103,0.15197385654043086,0.10250646143939464,-0.022219319830414003,0.06613795661690305,0.3559747407754112,98,ok,0.8424,0.7058666666666666,1.0,4
