stage,specification,x,y,restriction,high_information,negative_control,method,endpoint,estimate,ci90_low,ci90_high,permutation_p_positive,permutation_p_two_sided,permutation_null_mean,permutations,bootstrap_replicates,shared_players,median_n_a,median_n_b,min_n_a,min_n_b,median_games_a,median_games_b,median_information_a,median_information_b,median_se_a,median_se_b,median_shrinkage_a,median_shrinkage_b,score_se_spearman_a,score_se_spearman_b,se_stability_spearman,top_quartile_baseline_n,status,bh_q_positive,bh_q_two_sided,by_q_positive,family_tests
discovery,distortion__linear_exposure_pitcher,linear_exposure_pitcher,distortion,all,False,False,unpooled,spearman,0.07065169623494119,-0.01557963553826755,0.16626154170210927,0.0902,0.1774,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,439.5401023381992,420.80534973471816,0.039279693740786124,0.04083699687896603,0.21908586722909612,0.24377309735974856,0.04391103723023129,-0.060294918460347936,0.326303105863021,82,ok,0.2706,0.5221584905660377,1.0,156
discovery,distortion__linear_exposure_pitcher,linear_exposure_pitcher,distortion,all,False,False,pooled,spearman,-0.010983491444785188,-0.09399000486145677,0.07143472169858811,0.5887,0.8298,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,439.5401023381992,420.80534973471816,0.039279693740786124,0.04083699687896603,0.21908586722909612,0.24377309735974856,0.027696015209270775,-0.025970403064782703,0.326303105863021,94,ok,0.7010473282442747,0.8806040816326531,1.0,156
discovery,distortion__saturating_exposure_pitcher,saturating_exposure_pitcher,distortion,all,False,False,unpooled,spearman,-0.015403386627880294,-0.10809982537150152,0.07363733256416917,0.6175,0.7736,0.0,9999,500,366,415.5,385.5,45,40,62.0,59.0,11.615229881968842,11.655559999271077,0.2598206363278381,0.2598730711579542,0.13242136053753378,0.21588174624252376,0.02009813669993165,-0.049881811300712064,0.35233669736166595,84,ok,0.7188805970149255,0.8558978723404255,1.0,156
discovery,distortion__saturating_exposure_pitcher,saturating_exposure_pitcher,distortion,all,False,False,pooled,spearman,-0.06236312537058261,-0.13990548570212785,0.025389809467888904,0.8841,0.2347,0.0,9999,500,366,415.5,385.5,45,40,62.0,59.0,11.615229881968842,11.655559999271077,0.2598206363278381,0.2598730711579542,0.13242136053753378,0.21588174624252376,-0.011024622288742672,-0.024752990819647654,0.35233669736166595,96,ok,0.8960883116883117,0.57072,1.0,156
discovery,absz_attack_angle__log_exposure_pitcher,log_exposure_pitcher,absz_attack_angle,all,False,False,unpooled,spearman,0.06724059690655661,-0.020467452357038552,0.14989699599316328,0.1064,0.1992,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,53.493913453153894,54.48835489674421,0.08731087675549205,0.08186038821765863,0.1221669612984833,0.11470235452829826,0.12849827558205076,0.09300392651400073,0.42838100560794096,85,ok,0.3027934426229508,0.5549142857142857,1.0,156
discovery,absz_attack_angle__log_exposure_pitcher,log_exposure_pitcher,absz_attack_angle,all,False,False,pooled,spearman,0.08203930335425563,0.001733093994495175,0.16364954070163443,0.0589,0.1181,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,53.493913453153894,54.48835489674421,0.08731087675549205,0.08186038821765863,0.1221669612984833,0.11470235452829826,0.1112099108652661,0.09889990733044816,0.42838100560794096,97,ok,0.21368372093023255,0.4187181818181818,1.0,156
discovery,absz_attack_angle__log_exposure_pa,log_exposure_pa,absz_attack_angle,all,False,False,unpooled,spearman,0.036064935561224004,-0.05738572696225309,0.12950149146890072,0.2452,0.4863,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,17.675372933583375,16.343598170829072,0.15161939540167604,0.14701733499862998,0.16167229494480576,0.1965464330151646,0.034949557192399186,0.13348642916511422,0.41415264681436476,91,ok,0.42034285714285713,0.7374407766990292,1.0,156
discovery,absz_attack_angle__log_exposure_pa,log_exposure_pa,absz_attack_angle,all,False,False,pooled,spearman,0.03280693206462029,-0.04431910454972842,0.12504043896638423,0.2622,0.5248,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,17.675372933583375,16.343598170829072,0.15161939540167604,0.14701733499862998,0.16167229494480576,0.1965464330151646,0.006720930899085724,0.1540791321544238,0.41415264681436476,99,ok,0.4305,0.7423103999999999,1.0,156
discovery,absz_attack_angle__log_exposure_type,log_exposure_type,absz_attack_angle,all,False,False,unpooled,spearman,0.008953359510093338,-0.07313336536819418,0.10304572400577186,0.4356,0.8615,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,94.32682094805693,88.60065730110864,0.06801740171116728,0.06523298670794542,0.05235404061068259,0.1902342822239133,0.12851523315468172,0.011234272448482416,0.38545876204943014,80,ok,0.5524682926829267,0.8877631578947368,1.0,156
discovery,absz_attack_angle__log_exposure_type,log_exposure_type,absz_attack_angle,all,False,False,pooled,spearman,0.025355631347147783,-0.05773064906187055,0.10259525586102596,0.3101,0.6296,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,94.32682094805693,88.60065730110864,0.06801740171116728,0.06523298670794542,0.05235404061068259,0.1902342822239133,0.1197484069435289,0.04702717033045772,0.38545876204943014,101,ok,0.44381284403669724,0.7525818181818182,1.0,156
discovery,absz_attack_angle__log_kernel_exposure,log_kernel_exposure,absz_attack_angle,all,False,False,unpooled,spearman,0.04649814183218213,-0.035971270348876525,0.1358635900265217,0.1876,0.375,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,30.65579793140214,30.49812547284944,0.11134273432086378,0.11297776217026231,0.18814199076333427,0.12162015148732824,0.07650301414882539,0.07636400982106177,0.41438718676258435,84,ok,0.37557,0.67496,1.0,156
discovery,absz_attack_angle__log_kernel_exposure,log_kernel_exposure,absz_attack_angle,all,False,False,pooled,spearman,0.039195637843569976,-0.06061308662990731,0.1219323268549334,0.2223,0.4493,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,30.65579793140214,30.49812547284944,0.11134273432086378,0.11297776217026231,0.18814199076333427,0.12162015148732824,0.08776308121483095,0.09923189361153305,0.41438718676258435,95,ok,0.39860689655172415,0.7225855670103093,1.0,156
discovery,absz_attack_angle__log_exposure_sequence,log_exposure_sequence,absz_attack_angle,all,False,False,unpooled,spearman,0.028348762336036993,-0.05563608977116756,0.11216940633726946,0.2973,0.5934,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,48.8276162748292,44.130475182916655,0.08882872463782897,0.08821932782938789,0.09860565110672777,0.23562292566663223,0.016786802709390196,0.058964584945496924,0.43164927918374363,77,ok,0.4334467289719626,0.7423103999999999,1.0,156
discovery,absz_attack_angle__log_exposure_sequence,log_exposure_sequence,absz_attack_angle,all,False,False,pooled,spearman,0.021653148376372132,-0.048583952567488715,0.11332473514765658,0.3345,0.6739,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,48.8276162748292,44.130475182916655,0.08882872463782897,0.08821932782938789,0.09860565110672777,0.23562292566663223,0.049596600842624176,0.030446724561252667,0.43164927918374363,89,ok,0.45714782608695653,0.7711182481751825,1.0,156
discovery,absz_attack_angle__log_kernel_h0.5_m5,log_kernel_h0.5_m5,absz_attack_angle,all,False,False,unpooled,spearman,0.1272395081773001,0.03744709783352562,0.2120410058273882,0.0086,0.0171,0.0,9999,500,367,415.0,385.0,45,43,62.0,59.0,13.692415997322993,13.284024243178544,0.16245002720011667,0.17009303633996117,0.20660295612139518,0.06845750829441592,0.05675095795114012,0.044276715329743,0.4017430049660032,81,ok,0.06098181818181818,0.12125454545454546,0.3433443073345299,156
discovery,absz_attack_angle__log_kernel_h0.5_m5,log_kernel_h0.5_m5,absz_attack_angle,all,False,False,pooled,spearman,0.07615177480719594,-0.013153930749466152,0.15812001326107603,0.0708,0.1469,0.0,9999,500,367,415.0,385.0,45,43,62.0,59.0,13.692415997322993,13.284024243178544,0.16245002720011667,0.17009303633996117,0.20660295612139518,0.06845750829441592,0.05062963559985317,0.04268563277212513,0.4017430049660032,94,ok,0.23499574468085108,0.4729920000000001,1.0,156
