stage,specification,x,y,restriction,high_information,negative_control,method,endpoint,estimate,ci90_low,ci90_high,permutation_p_positive,permutation_p_two_sided,permutation_null_mean,permutations,bootstrap_replicates,shared_players,median_n_a,median_n_b,min_n_a,min_n_b,median_games_a,median_games_b,median_information_a,median_information_b,median_se_a,median_se_b,median_shrinkage_a,median_shrinkage_b,score_se_spearman_a,score_se_spearman_b,se_stability_spearman,top_quartile_baseline_n,status,bh_q_positive,bh_q_two_sided,by_q_positive,family_tests
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,spearman,-0.05070941962218392,-0.13275199339486687,0.027245758373376557,0.86545,0.2722,0.0,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.0029028438847169247,-0.0037291076876071185,0.49810865195949733,105,ok,0.9030782608695653,0.6558370786516854,1.0,840
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,kendall,-0.035409714497589916,-0.09051174886226432,0.016911792669763885,0.87485,0.2526,0.0,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.0029028438847169247,-0.0037291076876071185,0.49810865195949733,105,ok,0.9106245353159852,0.6361616766467066,1.0,840
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,quartile_trend,-0.051017661391954655,-0.12882457048565396,0.023919160412498162,0.86455,0.26985,0.0,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.0029028438847169247,-0.0037291076876071185,0.49810865195949733,105,ok,0.9030782608695653,0.6558370786516854,1.0,840
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,decile_trend,-0.04636679635367907,-0.12599094783266374,0.03013688828791035,0.84405,0.3167,0.0,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.0029028438847169247,-0.0037291076876071185,0.49810865195949733,105,ok,0.8884736842105263,0.7006263157894737,1.0,840
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,top_quartile_retention,0.24761904761904763,0.17923038728897714,0.3181818181818182,0.3609,0.69605,0.23010752688172043,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.0029028438847169247,-0.0037291076876071185,0.49810865195949733,105,ok,0.6124363636363637,0.8863272727272727,1.0,840
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,spearman,-0.07021440131381076,-0.14906620165464085,0.0040126012832775145,0.9324,0.1356,0.0,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.006737338100989656,-0.023526617557896954,0.49810865195949733,117,ok,0.9447720144752714,0.49618181818181817,1.0,840
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,kendall,-0.0460697070819429,-0.09963232917816016,0.004829060629633596,0.9281,0.1429,0.0,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.006737338100989656,-0.023526617557896954,0.49810865195949733,117,ok,0.9442898550724638,0.50015,1.0,840
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,quartile_trend,-0.06564698281666041,-0.14262079100644012,0.007496968860262504,0.9202,0.1616,0.0,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.006737338100989656,-0.023526617557896954,0.49810865195949733,117,ok,0.9403503649635035,0.5323294117647058,1.0,840
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,decile_trend,-0.06299318508624001,-0.13936243581616897,0.01045019649305015,0.90905,0.1804,0.0,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.006737338100989656,-0.023526617557896954,0.49810865195949733,117,ok,0.9312219512195121,0.5558461538461539,1.0,840
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,top_quartile_retention,0.23931623931623933,0.17647058823529413,0.30434782608695654,0.7225,0.7187,0.25591397849462366,19999,1000,465,640.0,560.0,43,40,99.0,92.0,81.87396376665937,80.8172362291269,0.09903093679372564,0.09603022595825995,0.11795149746501037,0.1858710742407691,-0.006737338100989656,-0.023526617557896954,0.49810865195949733,117,ok,0.8419696551724138,0.8885739130434782,1.0,840
