specification,role,method,shared_players,unadjusted_spearman,partial_rank_correlation,partial_ci90_low,partial_ci90_high,controls,bootstrap_replicates,scope
distortion__log_exposure_pitcher,primary,unpooled,465,-0.0507094196221839,-0.048962250450569,-0.1270646485328596,0.0298763841830804,"log n_2025, log n_2026, log SE_2025, log SE_2026",1000,"Post-selection descriptive diagnostic; conditional score bootstrap, no selective inference or new validation claim."
distortion__log_exposure_pitcher,primary,pooled,465,-0.0702144013138107,-0.0662447205408464,-0.139011269454847,0.0102003156820402,"log n_2025, log n_2026, log SE_2025, log SE_2026",1000,"Post-selection descriptive diagnostic; conditional score bootstrap, no selective inference or new validation claim."
absz_swing_length__log_kernel_h1_m5,discovery_selected,unpooled,465,0.0996482739524602,0.099476685102195,0.0210638792691632,0.1786152491676104,"log n_2025, log n_2026, log SE_2025, log SE_2026",1000,"Post-selection descriptive diagnostic; conditional score bootstrap, no selective inference or new validation claim."
absz_swing_length__log_kernel_h1_m5,discovery_selected,pooled,465,0.0963391608224684,0.0950993108620458,0.0222976061566438,0.1759397926445183,"log n_2025, log n_2026, log SE_2025, log SE_2026",1000,"Post-selection descriptive diagnostic; conditional score bootstrap, no selective inference or new validation claim."
absz_swing_length__log_exposure_pitcher,best_full_sample_pooled_by_q_then_p_descriptive,unpooled,465,0.1383106885571474,0.1427645773145809,0.0585959709043156,0.2173400490156277,"log n_2025, log n_2026, log SE_2025, log SE_2026",1000,"Post-selection descriptive diagnostic; conditional score bootstrap, no selective inference or new validation claim."
absz_swing_length__log_exposure_pitcher,best_full_sample_pooled_by_q_then_p_descriptive,pooled,465,0.1454429576019134,0.1516098156156525,0.0730402215811415,0.2239440302356526,"log n_2025, log n_2026, log SE_2025, log SE_2026",1000,"Post-selection descriptive diagnostic; conditional score bootstrap, no selective inference or new validation claim."
