season,exposure_pitcher,n,hitters,speed,zone_z,strikes,inning,distortion,whiff_rate
2025,0,116852,667,88.910255,0.3954669,0.7620323143805839,4.896989354054702,0.1728712722525884,0.2589001471947421
2025,1,89217,668,89.33042,0.40976053,1.1357700886602329,4.983848369705325,0.14872113130513287,0.2412320521873634
2025,2,54708,664,89.77995,0.43299338,1.3477736345689844,5.005044966001316,0.1279161863828062,0.22402573663815165
2025,3,30968,648,90.278366,0.4494656,1.3861082407646603,4.99386463446138,0.09894491880964836,0.2019826918109016
2025,4,17046,630,90.79554,0.479017,1.3858383198404318,4.982224568813798,0.06980767952269068,0.19734835151941804
2025,5,8984,600,91.25427,0.49644208,1.3903606411398042,4.978851291184328,0.07236100542067017,0.18677649154051648
2025,6,4899,559,91.7781,0.52628255,1.4115125535823638,5.021432945499082,0.04728979324443574,0.1759542763829353
2025,7,2636,494,92.17803,0.53969973,1.4669954476479514,5.100531107738998,0.05430019000657882,0.16084977238239756
2025,8,1349,410,92.58436,0.5564694,1.4996293550778355,5.208302446256487,0.041867339274908905,0.167531504818384
2025,9,757,316,92.879265,0.54620767,1.5178335535006604,5.29326287978864,0.0479991516264044,0.17437252311756934
2025,10,352,210,93.72556,0.5996689,1.6022727272727273,5.392045454545454,-0.033898028908032694,0.17613636363636365
2025,11,173,123,93.36185,0.622103,1.676300578034682,5.323699421965318,-0.04011091881162383,0.15028901734104047
2025,12,83,67,94.28193,0.61276263,1.7349397590361446,5.614457831325301,0.08085611380799157,0.14457831325301204
2025,13,33,29,94.6697,0.7038898,1.9090909090909092,5.242424242424242,0.20685283074367986,0.12121212121212122
2025,14,21,18,94.45238,0.5933917,1.7142857142857142,5.476190476190476,-0.13081130246153352,0.047619047619047616
2025,15,2,1,95.35,0.455854,2.0,5.5,-0.395059647984772,0.0
2025,16,1,1,99.6,0.2347678,2.0,9.0,1.2108765118886493,0.0
2025,17,1,1,93.7,1.4094654,2.0,5.0,-0.20223039367098852,1.0
2026,0,117804,654,89.25465,0.3964901,0.7770703881022716,4.886064989304268,0.2869330583808516,0.25421038334861296
2026,1,87250,647,89.6572,0.41132352,1.1476103151862465,4.966383954154728,0.2654922782183782,0.23522063037249283
2026,2,51890,645,90.19296,0.43996638,1.3498169204085566,5.017961071497399,0.25315264000625537,0.218828290614762
2026,3,28773,640,90.64855,0.4597096,1.393424390922045,5.013971431550412,0.23789294750106235,0.20710388211170194
2026,4,15059,619,91.12625,0.48782626,1.408327246165084,5.064811740487416,0.21195124425801673,0.1923766518361113
2026,5,7867,602,91.47742,0.5030848,1.405999745773484,5.059361891445278,0.22419806020192368,0.19130545315876446
2026,6,3997,563,92.12437,0.5281742,1.4523392544408307,5.0783087315486615,0.2239738849846888,0.18213660245183888
2026,7,2100,487,92.66919,0.55937207,1.4485714285714286,5.22,0.20813437876529858,0.17476190476190476
2026,8,1036,387,93.09083,0.5701114,1.528957528957529,5.305019305019305,0.1727069165512657,0.18629343629343628
2026,9,504,260,93.404366,0.60730445,1.5376984126984128,5.444444444444445,0.18703803857830362,0.1349206349206349
2026,10,242,156,94.132645,0.6165332,1.5165289256198347,5.524793388429752,0.11097939736948165,0.15702479338842976
2026,11,110,88,93.76454,0.6425021,1.6363636363636365,5.781818181818182,0.20218896244085843,0.12727272727272726
2026,12,45,38,94.293335,0.6343729,1.6444444444444444,6.044444444444444,0.27859287343676387,0.2
2026,13,20,19,93.58,0.54232466,1.65,5.8,0.225040054280839,0.2
2026,14,8,8,93.6,0.51540756,1.75,5.75,0.5071692086440414,0.0
2026,15,4,4,91.7,0.606508,1.5,6.5,0.08973327648123743,0.0
2026,16,3,3,91.13333,0.75988656,1.3333333333333333,7.0,0.495325955391537,0.6666666666666666
2026,17,1,1,95.7,0.49385855,1.0,8.0,1.6658554606251637,0.0
