season,exposure_bucket,swings,tracking_complete_pct,included_pct,whiff_rate,mean_inning
2023,0,51807,95.01418727199027,94.71113942131372,0.2678209508367595,4.914625436717046
2023,1,40764,95.19674222353056,95.0348346580316,0.2446521440486704,4.971911490530861
2023,2,25700,95.20622568093385,95.10116731517509,0.22303501945525292,5.02147859922179
2023,3,14872,95.50833781603012,95.38730500268962,0.20125067240451855,5.021113501882732
2023,4,8469,95.82004959263195,95.7728185145826,0.20203093635612232,4.974495217853348
2023,5,4560,95.50438596491229,95.43859649122807,0.18267543859649124,5.003508771929824
2023,6,2504,95.36741214057508,95.28753993610223,0.18170926517571884,5.079472843450479
2023,7,1383,94.79392624728851,94.79392624728851,0.18655097613882862,5.16413593637021
2023,8,708,96.89265536723164,96.89265536723164,0.1709039548022599,5.3107344632768365
2023,9,382,95.02617801047121,95.02617801047121,0.13089005235602094,5.316753926701571
2023,10,398,94.72361809045226,94.72361809045226,0.12814070351758794,5.422110552763819
2024,0,118321,93.01645523617954,92.70966269723887,0.25931153387817885,4.9122387403757575
2024,1,91731,93.09829828520347,92.92387524391972,0.2370954203050223,4.973204260282784
2024,2,57017,93.35636739919673,93.20728905414175,0.21623375484504623,5.010014557061929
2024,3,32866,93.27268301588268,93.16923264163573,0.2075701332684233,5.010132051360068
2024,4,18268,93.30523319465732,93.21217429384716,0.19088022772060434,5.010674403328224
2024,5,9894,93.4101475641803,93.33939761471599,0.1802102284212654,5.0425510410349705
2024,6,5163,93.45341855510362,93.37594421847763,0.1832268061204726,5.083284911872942
2024,7,2753,93.02579004722121,92.91681801670904,0.16345804576825282,5.136578278241918
2024,8,1472,91.44021739130434,91.30434782608695,0.17051630434782608,5.176630434782608
2024,9,736,92.11956521739131,92.11956521739131,0.14402173913043478,5.330163043478261
2024,10,749,91.32176234979973,91.18825100133512,0.1321762349799733,5.520694259012016
2025,0,120574,97.33524640469753,96.91309900973675,0.25435002571035215,4.904962927330934
2025,1,91743,97.49517674372977,97.24665642065334,0.23771840903393174,4.991367188777345
2025,2,56229,97.49417560333636,97.29499012964841,0.22107809137633605,5.007931850112931
2025,3,31836,97.45256941826864,97.273526824978,0.1993654981781631,4.996387737152909
2025,4,17482,97.64329024139114,97.50600617778287,0.19454295847157077,4.985813980093811
2025,5,9249,97.28619310195697,97.13482538652828,0.18304681587198615,4.979565358417126
2025,6,5020,97.74900398406375,97.58964143426296,0.17310756972111555,5.016135458167331
2025,7,2709,97.45293466223698,97.30527870062754,0.1583610188261351,5.099667774086379
2025,8,1385,97.54512635379061,97.40072202166064,0.16534296028880865,5.205776173285199
2025,9,775,97.67741935483872,97.67741935483872,0.1703225806451613,5.272258064516129
2025,10,687,96.94323144104804,96.94323144104804,0.1572052401746725,5.384279475982533
2026,0,121722,97.29547657777559,96.78118992458225,0.24957690475016842,4.8961650317937595
2026,1,89858,97.40479423089764,97.09764294776203,0.2321663068396804,4.974448574417414
2026,2,53368,97.44978264128316,97.23055014240744,0.21606580722530355,5.02280392744716
2026,3,29553,97.56369911684092,97.36067404324434,0.20414171150137042,5.019997969749264
2026,4,15506,97.33651489745905,97.11724493744357,0.1899264800722301,5.0658454791693535
2026,5,8077,97.54859477528785,97.40002476166893,0.18955057570880277,5.056580413519871
2026,6,4097,97.90090309982914,97.55918965096411,0.1791554796192336,5.0729802294361726
2026,7,2170,96.95852534562212,96.7741935483871,0.171889400921659,5.216129032258064
2026,8,1060,97.83018867924528,97.73584905660377,0.18490566037735848,5.297169811320755
2026,9,521,97.31285988483685,96.73704414587331,0.1324376199616123,5.416506717850288
2026,10,446,97.30941704035875,97.08520179372198,0.15022421524663676,5.661434977578475
