season,outcome,n_input_swings,n_covariate_eligible_swings,n_pairs,n_pairs_with_outcome,games,players,fraction_eligible_swings_matched,mean_exposure_increment,mean_change_later_minus_earlier,ci90_low,ci90_high,bootstrap_replicates
2025,distortion,328082,328082,752,752,639,366,0.004584219798708859,1.7712765957446808,-0.04697378010732916,-0.10580860126801392,0.012304297359464783,2000
2025,adj_distortion,328082,328082,752,752,639,366,0.004584219798708859,1.7712765957446808,-0.039378386830823335,-0.09810256482515217,0.019974826985616166,2000
2026,distortion,316713,316713,668,668,565,353,0.004218330160113415,1.7425149700598803,-0.07793446473337601,-0.1428556892506386,-0.010881354915835837,2000
2026,adj_distortion,316713,316713,668,668,565,353,0.004218330160113415,1.7425149700598803,-0.07344209831905035,-0.13868666932191628,-0.006472409740338487,2000
