player_id,estimate_early,se_early,n_early,games_early,information_early,estimate_late,se_late,n_late,games_late,information_late,player_name
455117,0.08414462206924393,0.18707802059673467,178,46,21.817368150710962,-0.9209413483315351,0.3577326663803974,61,14,5.693607002066407,Martín Maldonado
456781,-0.02923072802168634,0.140667858101454,260,49,31.97274247380685,0.13633894559694815,0.2746796768826879,83,17,5.086966389601185,Donovan Solano
457705,-0.12288937380930286,0.09892934862631012,570,75,84.81799722878716,-0.022434200945597393,0.13484522043126204,408,58,54.92600697199606,Andrew McCutchen
457759,-0.057441031746915464,0.13078603833525088,243,42,38.211483506569586,0.10160426627463831,0.15218295851513086,126,34,16.44888541385405,Justin Turner
467793,0.1116491629575326,0.1146369278942399,540,76,74.70290164312158,-0.2756888317809139,0.22720176130781594,302,46,29.841765370323174,Carlos Santana
500743,-0.198038764003181,0.1796383586731445,186,46,21.622142188996914,-0.15870224324457094,0.13818001683038567,302,62,31.426338365636248,Miguel Rojas
502054,-0.2551627863163933,0.27134933101764297,340,54,46.45151804704133,-0.11609940623334068,0.14006872951597296,375,61,52.637745246486205,Tommy Pham
502671,0.04402183077157242,0.08642405227566934,591,77,81.68303736695322,0.021629756872752433,0.11503149878651757,397,60,54.08855594875181,Paul Goldschmidt
514888,0.03214220188581131,0.08437039076675135,552,80,96.59669276828112,0.10373876252774086,0.08779864722417244,518,73,65.85172631516828,Jose Altuve
516782,0.1549540315576602,0.11015026554310438,309,51,36.89432559176498,-0.04734852154506596,0.1454173594034173,296,44,43.79214640368971,Starling Marte
518595,0.005957782262306318,0.1640814848947097,260,38,27.019286511361212,-0.14304634663341206,0.1784877988297621,199,29,21.757178891040883,Travis d'Arnaud
518692,0.02478125509238161,0.09052887184243426,595,71,73.72442268038759,0.0030721980680020497,0.10295330942617681,616,75,74.78075037710246,Freddie Freeman
519317,0.2758379181810827,0.2758442942183783,76,11,6.617914342701095,0.040620245949128685,0.13720512410340396,419,65,52.44578726913959,Giancarlo Stanton
521692,-0.06259938900715425,0.10775020934392857,680,80,78.36242519273172,-0.06355556851128209,0.08826577618282293,597,74,82.15784260270229,Salvador Perez
527038,0.1546761607661401,0.09531268549249093,586,80,74.03550629894363,0.108955411132866,0.1601152358560096,276,44,37.71416693745115,Wilmer Flores
542303,0.06329152215171963,0.13229450028010442,577,80,99.34512967726867,0.12095331758566001,0.10761152916510176,434,63,57.120917490388535,Marcell Ozuna
543309,0.16858222302224501,0.13980917038291038,248,43,40.94932395211663,0.1219563271262529,0.10807491793822585,320,49,41.61181491738863,Kyle Higashioka
543760,-0.13489051343699274,0.10681246895638671,645,84,108.8499289117402,-0.07778231692139259,0.2118449071988756,321,43,42.78984208945708,Marcus Semien
543807,0.15844135245982338,0.14603148268922758,516,75,58.95927695014563,0.011299446269080126,0.11072680679578495,509,61,85.22720914903945,George Springer
543877,-0.040598596235809956,0.1755820070819606,242,42,26.143715224397397,0.2827799663796453,0.18484016526547858,107,20,15.966601961513257,Christian Vázquez
545121,0.1453494213289361,0.5358275489298386,53,8,5.624499354114099,0.10386565636862577,0.2962821415757329,156,28,11.757547577789197,Ildemaro Vargas
545341,0.30193797257044475,0.190245840790505,247,52,30.026518061107453,-0.5462788298489988,0.523888750853647,266,57,37.74517459430994,Randal Grichuk
545361,0.15399332104439856,0.10673621442998964,416,57,65.48498674711446,-0.0791345996782412,0.12176008405987586,536,73,77.91625425372578,Mike Trout
547180,0.20803162586054036,0.07014132478856165,493,58,90.90570293279251,0.052677694984639103,0.10035081688090505,654,74,93.58784688479955,Bryce Harper
553869,0.12848126289760767,0.16386801244682297,352,64,37.11851128839278,0.12859287615649767,0.22654264927915624,179,32,26.734840967486214,Elias Díaz
553993,0.07947090447679223,0.13201297924496214,650,82,86.22475265911201,0.03654472327883514,0.10710627422261561,631,75,88.82701119705945,Eugenio Suárez
570482,-0.08528141776754,0.15369509769228873,237,35,30.791795730746152,0.007581844399829462,0.18235691276277524,153,20,26.28552001792751,Gio Urshela
571448,0.040270991691010415,0.09429143207823229,566,80,72.45113160804175,0.0858441146676013,0.12167443371650498,205,26,34.653762221619004,Nolan Arenado
571657,-0.22552140217908345,0.14620623503125849,335,59,39.24531092148299,0.019277423498924275,0.13825472281319956,190,37,18.102632795671447,Kyle Farmer
571771,-0.2787116863145285,0.14792602351441803,341,61,34.29218527490055,0.22230535925706993,0.13520273122128196,176,23,20.620866343536896,Enrique Hernández
571970,0.10288513332228044,0.11493088264644949,546,79,71.83673628324993,-0.12766659303219363,0.31611672869082597,126,20,14.536156865314826,Max Muncy
572191,0.018160747820096152,0.22593369750792133,312,59,36.809329894799454,0.06455071444477638,0.11922316576333387,296,50,34.952942037792006,Michael A. Taylor
572233,-0.0037048761973710203,0.0929512139867601,667,81,90.7580835047117,0.04680077926444771,0.09306636787844788,618,72,79.22049285093404,Christian Walker
573262,-0.03392903698724873,0.09730901773631047,493,76,73.91352571483402,0.012354027389354776,0.11149084826832724,443,67,62.840642364007294,Mike Yastrzemski
575929,-0.13304964667377872,0.09091232027925983,618,81,100.43985660390442,0.1590235735624322,0.1380622884304795,410,54,52.75907772315179,Willson Contreras
578428,0.1975312628418511,0.1756341148924485,324,55,35.636664008598544,-0.09016981873124033,0.16201053080872455,270,51,35.234821678805446,Jose Iglesias
592206,0.04432899963785733,0.08435959030258906,692,84,105.3804755870762,0.2132018891072448,0.098722200120328,550,62,73.7121170813621,Nick Castellanos
592450,0.1460867847865616,0.07806969590191418,654,84,103.29783410720907,0.008430346952904783,0.10416141366041345,472,68,72.2081067446021,Aaron Judge
592518,0.026602244991924446,0.0760039584499917,665,84,107.91105607549255,0.09991702668838934,0.07539257787551015,646,75,85.91407942765221,Manny Machado
592626,-0.10182103772499475,0.15417446265770618,248,46,36.141840726977044,-0.04511044555247114,0.16386309748763841,284,49,37.70959656345977,Joc Pederson
592663,0.0394255631764203,0.09535846332591452,522,70,69.10314183918683,-0.05344662445759118,0.1074670298683064,514,63,66.46667419523058,J.T. Realmuto
592885,0.06505002353675267,0.09688494605673856,617,78,92.78788864087636,0.028115581741149274,0.08053424307377637,553,71,78.4446042412439,Christian Yelich
593428,0.1878515147516755,0.10556495540999018,496,82,64.9224771718621,-0.1514318013510242,0.23753798415836813,329,54,39.8303939979013,Xander Bogaerts
593871,0.05648931683307327,0.11590813627815114,404,66,54.321274604062516,0.11296900161193571,0.10776103769480762,488,68,61.825736488933025,Jorge Polanco
595879,0.05197088418672328,0.11393469354721152,461,69,54.48624389035763,0.01605466516990646,0.11069734327480281,361,54,44.57822424275729,Javier Báez
595978,0.04001985738113931,0.21387843311780866,165,26,24.2228300905741,-0.0081504078779413,0.26703035220868043,172,32,22.248581970946233,Austin Hedges
596019,-0.04727222134689732,0.08774331531726454,678,83,92.60757758016939,0.11447350686044877,0.09426205633328869,630,76,96.69451965124085,Francisco Lindor
596103,-0.1332683613619217,0.1844207815800441,178,35,21.59215604736295,0.2597711235423221,0.17862951493070495,137,24,17.894683989311464,Austin Slater
596115,0.04761689451225838,0.08278218968723362,678,81,86.11909949785908,0.07563594333683944,0.08691563237741659,615,75,93.54794408685629,Trevor Story
596146,-0.06869155238833911,0.10326041843512587,534,76,66.26953426181747,0.06843266109355874,0.14111886505159543,336,50,45.31346151166218,Max Kepler
602104,-0.016763388870155837,0.15515454613038068,404,59,46.51646853425063,0.1919413267407898,0.17871251862076265,305,50,37.01350953422794,Ramón Urías
605137,-0.12554989468765673,0.10997885096216073,504,72,58.37975044813191,0.08416458362691553,0.07499769472445487,474,66,65.58529439377332,Josh Bell
605141,0.0008498508978341078,0.13771877177784028,499,78,57.529909623859915,0.02939950987962331,0.14741849326110537,463,72,53.15232089287966,Mookie Betts
605170,-0.10226882336019046,0.13330942869850823,331,55,44.070237394582534,0.0758562771091659,0.14491696326832182,321,56,37.6830331375529,Victor Caratini
606115,-0.1581011924043519,0.24025729892009604,189,28,18.147030279688583,0.1412045593735181,0.1351288130179594,216,36,26.997578932437634,Orlando Arcia
606192,0.07904244603099052,0.10421104232000052,540,69,75.16295869222327,0.13734413543158988,0.08932872060205602,506,65,69.63494373201351,Teoscar Hernández
606466,0.11180761670253263,0.11502310023318012,404,58,55.70753087165173,0.14481019019610647,0.1077625293951158,532,68,68.96227390409805,Ketel Marte
607043,0.22491476671025065,0.11322370280475148,614,80,80.75855493442559,0.08195582524140607,0.0954719725733912,568,73,70.76039281698209,Brandon Nimmo
607208,0.06268416852216006,0.08922150253470118,662,83,96.73959787001665,0.1646896072970713,0.10091001824970008,520,58,76.82663327364442,Trea Turner
607732,0.35935783096207585,0.21434980478857502,189,28,25.775174730113914,-0.8053598949805353,0.6334042462970445,73,13,8.929985704838066,Jacob Stallings
608070,0.18261100320182866,0.10487420481530997,595,79,77.21585588130276,-0.1554528786015836,0.11791068084671333,596,79,78.62508963103929,José Ramírez
608324,-0.03094031015479899,0.0914822043441561,358,51,50.87744467229018,0.13852682366264188,0.0857025445494189,423,63,65.19153652609316,Alex Bregman
608348,0.029006112223686948,0.0745794660098679,357,51,44.83907162349213,0.033547409847731774,0.07395626609155856,375,57,43.52858100151785,Carson Kelly
608369,-0.06595707468119502,0.09145603547865824,434,53,65.37140926311336,0.1320234693198414,0.08899306125690823,383,49,65.53126289946351,Corey Seager
608701,-0.1391178084082318,0.1864451962112117,176,35,26.82020226468426,0.1657157264068383,0.15893702311892913,183,33,22.9664477922938,Rob Refsnyder
609280,0.006189102873403378,0.1531767232674316,323,46,43.92296559296547,-0.09656584331165342,0.10218433429656462,317,47,42.29193243697884,Miguel Andujar
620443,0.05247974245648104,0.11950328126740921,301,49,35.5963124320472,-0.030785813888853906,0.14693731063140336,221,38,35.78684195278758,Luis Torrens
621020,0.09381997310013275,0.07833058618527207,660,83,79.64289756255107,-0.26001961861393,0.11285178584086276,593,76,80.52517982322776,Dansby Swanson
621028,0.06982429415067008,0.11253897716052669,157,31,18.29066000943454,-0.051520186474872,0.15754356443734926,54,13,4.915486347244187,Kevin Newman
621035,0.0026399623740638737,0.17107130122842631,134,25,20.372939521208522,0.4145911662246498,0.1664110159285783,105,18,11.854883285534449,Chris Taylor
621043,0.07955307150330278,0.14747923425416334,494,72,55.41922692085362,0.08846282793314275,0.13746526786676994,530,70,68.7541307658081,Carlos Correa
621438,0.02177215437654945,0.12802334487215658,426,72,43.916582406300265,-0.2128702565281858,0.13525490287707717,164,28,20.120756168330097,Tyrone Taylor
621439,0.03029990855802165,0.10412431332441907,534,67,75.11558405587337,0.18363814330614212,0.1236082097536573,497,59,61.873178385361726,Byron Buxton
621493,0.0437391962442792,0.09517574945531554,509,81,81.5872771059041,0.055818068190302585,0.08021785478880694,484,75,75.52853329435547,Taylor Ward
621566,-0.11392484120874455,0.10218110024185012,673,83,107.9157802274503,0.08844089549884514,0.07778387937265559,712,79,108.56078122500647,Matt Olson
623168,-0.08422655716568413,0.15526747089235676,145,24,18.410391194437253,-0.21772000886597254,0.17075141998838927,160,28,23.198530239829438,Tyler Heineman
624413,-0.009481611725126748,0.07382439957094118,691,85,104.25797517510236,0.07197776394562369,0.10152177245341776,559,76,76.15876405095264,Pete Alonso
624424,-0.06039110249333247,0.08552424932478403,478,71,55.69984102184546,-0.11984260689321058,0.15610350525757805,436,66,50.07837026585095,Michael Conforto
624428,0.15280091205548407,0.09630107888122949,484,70,57.7792621367487,0.0631752351776653,0.1553433040467847,418,60,49.49153265477359,Adam Frazier
624431,-0.058758118396906665,0.1589970038690195,270,49,30.043071196280923,0.15650023918138953,0.10340111635586706,208,39,22.219793725629135,Jose Trevino
624512,0.10789571122957677,0.19118100033851185,102,14,11.6306109430396,-0.051913518635618126,0.11597745454430802,159,26,23.726846131841658,Reese McGuire
624585,-0.03806692005848476,0.09060045055437896,487,65,78.66599350499979,-0.07108323078271185,0.139465591880146,84,14,12.958409880577614,Jorge Soler
624641,-0.13900578979375444,0.1514037126536887,241,40,20.094765426907372,-0.04617445374549095,0.12146324154593625,282,44,33.140996126350124,Edmundo Sosa
628451,-0.08304129841822329,0.21202635489445287,186,43,20.422867910986895,0.005314099521054588,0.13879068766969707,176,42,17.560737147971032,Andy Ibáñez
630105,0.291153450927332,0.14388921894170198,403,59,69.8099402759567,0.05575029740286916,0.08979879379058808,490,75,63.73085716688155,Jake Cronenworth
640902,-0.020700486058988977,0.2918765624207631,79,16,8.749512978631621,0.14816056885552834,0.3855161804024239,56,10,6.3204353345830935,Jhonny Pereda
641343,-0.062154715306907506,0.11018706361746321,205,47,25.939014829349734,0.06731502088621318,0.11168421271471318,176,35,22.93653728366836,Jake Bauers
641355,-0.07084547708700757,0.07183979992070155,626,75,94.99508229075418,0.03381681284294397,0.06380843899611813,607,76,94.27502651535085,Cody Bellinger
641487,0.02884047634536667,0.09644684788880356,611,80,83.8128061978855,-0.09631166643030357,0.10868881964796837,570,73,80.62651889368297,J.P. Crawford
641584,0.34403483538222,0.11526154050889564,245,44,24.903965842184377,-0.17322525472592076,0.3695166613390442,133,27,13.593413308477611,Jake Fraley
641598,-0.12552206984003852,0.24671865414460448,251,46,29.796566236100524,-0.08289756731462511,0.1519705537135376,213,38,19.770411935189053,Mitch Garver
641680,-0.055822415253397324,0.11281010674842096,462,65,53.4307658151625,-0.054119356305360744,0.14275924158011413,359,57,46.2879870167221,Jonah Heim
641857,0.046143570411957754,0.11516813251311579,630,81,103.04562382111305,0.005105685428046781,0.10662850527111396,479,69,64.46070564633068,Ryan McMahon
641933,0.1999277966370327,0.15406476812999212,179,24,22.634407551384594,-0.25006604718868664,0.1556217410188841,203,30,20.018122380721863,Tyler O'Neill
642086,0.19542005945493757,0.23223846672394,118,19,13.41462386471822,0.053923472893738764,0.15474227959190795,295,44,32.21447409011891,Dominic Smith
642133,0.2939273055422456,0.12586982747913775,316,59,38.49531840258159,0.025500804003211044,0.17844927280823697,246,49,27.748078755440908,Rowdy Tellez
642136,-0.008038119700082967,0.3177706984657553,294,46,37.346506048116964,0.5696134988343329,0.25926825445465784,72,12,10.920021863193654,Matt Thaiss
642201,-0.14388817636370066,0.10867622752114087,335,56,43.925494139131125,0.1486536024538936,0.21946940388446015,173,33,24.231831258386826,Eli White
642215,0.4332810668931089,0.2119415324222339,75,19,10.3856311145693,0.16893161791680378,0.14474180589068772,150,27,27.048500340546354,Weston Wilson
642708,-0.3033986056189496,0.19490357701525568,227,38,21.150997225765472,0.7266908722326434,0.3211251574170461,119,22,14.712149968994794,Amed Rosario
642715,0.14282776791030208,0.09478235886878042,645,84,96.93062910276335,-0.10074169026663228,0.0854195740460613,626,75,77.24649259616275,Willy Adames
642731,-0.013293594619644978,0.21215927901864837,175,22,18.900997647922374,-0.16913061376092073,0.1518125056835032,122,17,15.323831668074263,Thairo Estrada
642851,0.062486813016391585,0.1800808956513997,155,27,19.28257051032795,0.04798903009924897,0.22391835654422163,64,8,8.160447914162585,Austin Wynns
643217,0.22588617330310276,0.12043899771475516,412,56,53.493913453153894,0.07159797896325198,0.12816184887280246,439,60,45.14563119985445,Andrew Benintendi
643289,0.0837237109572998,0.13033571944212155,299,52,31.481322773560088,0.0632521211607212,0.09278263329586009,394,66,62.4383069048545,Mauricio Dubón
643376,-0.11875824574285021,0.13882717107696393,340,56,41.62759613238511,-0.09035345667547819,0.19506260070455453,225,41,27.296968108178408,Danny Jansen
643396,0.41810035240161775,0.11159779636663063,419,72,41.22156356730271,0.18220591171461842,0.11780071665392389,342,60,32.16736637154857,Isiah Kiner-Falefa
643446,0.21173978628650178,0.08829988793948186,383,52,55.628504882432985,-0.07949002858993412,0.11177856321603404,493,69,68.70522343288587,Jeff McNeil
643565,-0.15614352926022904,0.15623433865916128,242,32,33.77523903556454,0.0014505440880600304,0.09206851493848307,491,61,66.52656702853146,Mike Tauchman
645277,0.028260502606219023,0.10392889592615343,648,83,82.84693650531659,-0.02643020303073657,0.12285264507326742,595,74,76.50749863217698,Ozzie Albies
645302,0.20540240572948126,0.2665061292451976,86,10,8.472615198284924,-0.7799642770347404,0.36235014382938263,121,19,12.297846019858484,Victor Robles
645444,-0.20737589563657294,0.1633441479100241,193,37,16.873730872452384,-0.3288257714119383,0.2223169467531727,113,20,14.570610952787687,Jose Herrera
646240,-0.007940347037954373,0.0729118691420294,769,86,143.3307055186928,-0.05580075624191836,0.081198366897692,639,77,103.1553019889086,Rafael Devers
647304,0.056058822373412524,0.12807337397285526,552,77,65.35364736053354,0.16992773282812368,0.12374533545158865,479,67,60.547615599966974,Josh Naylor
647351,-0.06886952659192065,0.08552933275032357,296,42,36.4383301311159,0.04952202188961863,0.13223499411649597,238,35,28.361471094316094,Abraham Toro
649966,0.07755586006415255,0.10051962337298116,416,67,55.47586128486322,-0.03774201628329186,0.1274817399517538,126,25,13.49160817587763,Luis Urías
650333,-0.20324968121787307,0.11144606109246641,589,77,89.55624153044783,-0.039786127469398615,0.1588235292973668,560,75,86.899524170024,Luis Arraez
650402,0.07737312718583288,0.07573200050072722,497,72,83.64111410718476,0.05929497779327602,0.06636865973374621,558,72,96.00971432402153,Gleyber Torres
650489,0.13871967271548458,0.0983875337978226,479,61,84.40878880742791,0.13351803838108767,0.16507339313851105,418,58,44.641688921209564,Willi Castro
650490,0.06938836640921403,0.08474630806000162,579,79,88.05219358925049,-0.043222163241912234,0.08082456436595258,511,69,70.74019472718385,Yandy Díaz
650859,0.09437250970291282,0.10482160868541686,524,76,60.5368997733646,-0.20874500142093477,0.12221251678082895,483,69,50.56687625675505,Luis Rengifo
650968,0.12656205477856813,0.1349430714206029,165,26,18.385472488609345,0.009891444102883343,0.26357889305077414,191,37,23.129489808291055,Yohel Pozo
655316,0.2585978381079974,0.2563798408174065,54,12,9.771078220445066,-0.17129857938954418,0.16690032971821023,203,35,17.021936337690782,Andruw Monasterio
656180,0.2997621845224007,0.251106691622581,146,24,15.52774368041436,0.17437075068483446,0.11214385347117907,407,57,54.66908524803128,Riley Adams
656305,0.15426879905436244,0.13033495618201305,458,65,79.26852715963811,-0.16291056417572145,0.1425138725692745,453,62,61.61398737102444,Matt Chapman
656537,-0.0910003745302331,0.09290987704565687,165,22,28.65274874104002,-0.02280600976234498,0.21804757954042947,131,26,14.171714291498278,Derek Hill
656716,-0.10037880850224488,0.1041431694145959,507,76,71.68404636215011,0.018334541305499538,0.09484279184535382,424,66,57.224143739833956,Zach McKinstry
656775,0.11327463480956794,0.11272688941133983,550,67,78.10183876236137,0.174096498360167,0.13335719800792079,407,60,50.00953848340163,Cedric Mullins
656811,-0.03802782517124714,0.11967460522580262,487,71,75.75823240101153,-0.14572169086508366,0.08202289032284098,509,72,81.31488707875957,Ryan O'Hearn
656896,-0.2031667109811073,0.15792869502475554,156,25,19.72554586819033,0.36485044864669414,0.26278335862881724,91,14,8.746920280334127,Emmanuel Rivera
656941,0.053174703143141704,0.11787632986320992,609,85,104.77009487891486,0.11004130429991842,0.12979106029739998,651,77,100.55382043557398,Kyle Schwarber
