field,n_populated,n_nonfinite,minimum,p01,median,p99,maximum
bat_speed,1111645,0,0.3,28.8,71.2,82.9,88.0
swing_length,1111645,0,0.2,4.5,7.3,9.1,14.1
attack_angle,1111645,0,-89.75783829480436,-20.938298782520015,9.45468428277159,33.71575573014047,89.26116537136824
attack_direction,1111645,0,-179.87180486440678,-49.355820533283996,-0.004615345372103,44.55970760743974,179.98787267736407
swing_path_tilt,1111633,0,0.2295172321287802,15.657374896034042,32.342034202179974,48.71473220802947,89.99663111077601
intercept_ball_minus_batter_pos_x_inches,1110329,0,4.082574905073201,20.79713292343667,36.941652497792376,53.58836150273398,79.32459361106332
intercept_ball_minus_batter_pos_y_inches,1110329,0,-11.99903975479247,3.6921848678694587,29.32651144503996,58.546818484682674,71.99983364391441
miss_distance,258011,0,0.1,0.1,1.525401984,18.670387120799997,57.450888372
