scenario,replicate,n_players,coverage90,coverage50,rmse,unpooled_rmse,mean_bias,rank_spearman,mu_mean,mu90_low,mu90_high,tau_mean,true_mu,true_tau,mu_interval_excludes_zero,first_stage_coverage90,missing_fraction,median_observed,median_clusters
heterogeneous,0,30,0.8333333333333334,0.5,0.06314056196190736,0.07168671456511065,0.008195110332591918,0.7717463848720801,0.06050010414826246,0.02701939552795015,0.09098915038160033,0.08813840354376797,0.055,0.09,True,0.9,0.15680026832131477,184.0,36.0
heterogeneous,1,30,0.9,0.5666666666666667,0.05026725277844597,0.06581207092459893,-0.005631228552930003,0.800222469410456,0.047000570281765554,0.015413801068073003,0.08002831560837617,0.08579828849171917,0.055,0.09,True,0.8666666666666667,0.16226630512344797,195.0,38.5
heterogeneous,2,30,0.9333333333333333,0.7,0.03666383689522153,0.059348111763433915,0.004880264295669709,0.8327030033370411,0.0544495105344855,0.023614979122862104,0.08603744471213441,0.07811094448186057,0.055,0.09,True,0.9333333333333333,0.1640046747175692,129.0,24.5
heterogeneous,3,30,0.7333333333333333,0.4,0.07241153796676793,0.08369699928098848,-0.0014983118297094006,0.7152391546162402,0.04012421657850672,0.010017347785047365,0.0695323415500472,0.07545272898314469,0.055,0.09,True,0.8333333333333334,0.16332916145181475,164.5,34.0
heterogeneous,4,30,0.9333333333333333,0.43333333333333335,0.05824800068069438,0.07445070841712248,-0.002497168440280052,0.7770856507230256,0.0329468355584566,-0.004205142953979834,0.07123858986023915,0.10289487126517044,0.055,0.09,False,0.9,0.16194005800837896,140.5,27.5
heterogeneous,5,30,0.8333333333333334,0.3,0.0620809287837033,0.06191894141025226,0.009012336656454751,0.7477196885428253,0.08102542072001105,0.049440635988165275,0.11062066328294219,0.07351762823676439,0.055,0.09,True,0.9666666666666667,0.17000765110941085,175.5,35.0
heterogeneous,6,30,0.9,0.5666666666666667,0.05245341918206849,0.07670036518339679,0.0074974470023763595,0.6507230255839822,0.06744916928121199,0.03329767254583337,0.10038591338413246,0.0959720951766235,0.055,0.09,True,0.8,0.16839049174378518,147.0,30.0
heterogeneous,7,30,0.9333333333333333,0.4666666666666667,0.056956153361354976,0.07039410289677757,0.002548922259117665,0.796662958843159,0.0532774882350435,0.014405378608440867,0.09073027605910321,0.09789832710987789,0.055,0.09,True,0.8333333333333334,0.1572348946543618,158.0,29.5
heterogeneous,8,30,0.9,0.4,0.05989367158649752,0.07967616036292585,0.012378892144170588,0.7076751946607341,0.041701152366887644,0.010388861253054554,0.0747763235016925,0.09009943916745522,0.055,0.09,True,0.7666666666666667,0.15586659754622434,128.0,24.5
heterogeneous,9,30,0.9333333333333333,0.43333333333333335,0.04843212772669935,0.043553987707301366,0.011930925016738815,0.9061179087875416,0.06375174772206921,0.033291076343638454,0.09487112997878441,0.0798542275484287,0.055,0.09,True,1.0,0.16726986624704954,166.5,34.5
heterogeneous,10,30,0.7333333333333333,0.3333333333333333,0.06222503432408551,0.05418792854342313,-0.012405348050534297,0.7414905450500555,0.05403094640922505,0.023672706059535545,0.08438077331353377,0.0728861191218773,0.055,0.09,True,0.8666666666666667,0.1629557921910294,158.0,31.5
heterogeneous,11,30,0.8333333333333334,0.36666666666666664,0.06268585013790302,0.0805684435626666,0.0019000468943809513,0.657397107897664,0.03773696192289839,0.001885966207132012,0.07419243418080429,0.10149956035402592,0.055,0.09,True,0.8333333333333334,0.166189111747851,146.5,29.5
heterogeneous,12,30,0.8,0.4,0.05100940867621478,0.06080653117061431,-0.014262859578759616,0.8375973303670745,0.05898522654588743,0.028265236267156508,0.08844858274565745,0.06472764303691637,0.055,0.09,True,0.9333333333333333,0.1591917200591424,147.0,30.5
heterogeneous,13,30,0.8333333333333334,0.5333333333333333,0.05615791231440052,0.06954288681345856,0.009850619835650307,0.7677419354838709,0.05504581041587154,0.013874048925467123,0.09547346113287937,0.11572220963261438,0.055,0.09,True,0.8333333333333334,0.1660090191657272,184.0,38.0
heterogeneous,14,30,0.9333333333333333,0.6,0.04072789236362787,0.051661231405717455,-0.007648196668065885,0.9087875417130145,0.07058873923167695,0.031375356662773246,0.10942420546053079,0.11325286681066736,0.055,0.09,True,0.9,0.15981277164827812,151.0,30.0
heterogeneous,15,30,0.9333333333333333,0.6666666666666666,0.042281134570599385,0.05262584612826246,-0.004834169635668208,0.8300333704115684,0.06243344848048136,0.026776144286341633,0.1011884129812728,0.1057179129527753,0.055,0.09,True,0.9333333333333333,0.16264462809917357,158.0,31.5
heterogeneous,16,30,0.9333333333333333,0.4666666666666667,0.05310113228134156,0.06801995969753731,-0.014324218745970065,0.8545050055617353,0.029901002049069987,-0.008039802396394492,0.06945379121415783,0.10876824350493754,0.055,0.09,False,0.9333333333333333,0.154635705872455,157.0,29.5
heterogeneous,17,30,0.8666666666666667,0.5,0.058432778210760775,0.06438778776828025,-0.01039473929478048,0.8478309232480534,0.01964238648847142,-0.021277503497473316,0.06013593170078085,0.10685964375601775,0.055,0.09,False,0.9333333333333333,0.1621056301202719,145.0,28.5
heterogeneous,18,30,0.8333333333333334,0.5,0.05720372643144,0.06745402081150126,0.012246816024860774,0.778865406006674,0.046940771770525386,0.01416443873862619,0.07720138344271402,0.0848573568315652,0.055,0.09,True,0.9333333333333333,0.16892109500805152,157.0,31.5
heterogeneous,19,30,0.9,0.43333333333333335,0.06176781029814815,0.07822035286784029,0.0335410999102936,0.8442714126807563,0.12985400900350874,0.09209727072172899,0.16439337629392284,0.10844157635898422,0.055,0.09,True,0.8666666666666667,0.16509667823500251,131.0,26.0
heterogeneous,20,30,0.9333333333333333,0.6,0.057211820777725075,0.07615089638922556,-0.010161999080573223,0.7806451612903226,0.06240764499132177,0.029711347274557737,0.09783796785209704,0.08819653145713026,0.055,0.09,True,0.8666666666666667,0.1619859578736209,135.5,26.5
heterogeneous,21,30,0.9,0.5666666666666667,0.04796120067729855,0.062466094281427534,0.018315761545370814,0.8122358175750835,0.0673890088339447,0.029949394258345204,0.10465138119327777,0.10141157682874515,0.055,0.09,True,0.9666666666666667,0.1562151616499443,206.5,41.5
heterogeneous,22,30,0.8333333333333334,0.36666666666666664,0.06363510437551152,0.079527022541101,0.020103829116248473,0.757508342602892,0.07923849854488806,0.043738902658813625,0.11096870305403907,0.08873610150447124,0.055,0.09,True,0.8666666666666667,0.15911330049261085,168.5,33.0
heterogeneous,23,30,0.8,0.5,0.055950809376236484,0.05838544399608544,-0.012539355219099562,0.7962180200222468,0.03239460751823247,0.004771140286768538,0.061845812020571725,0.07678622980622675,0.055,0.09,True,0.9333333333333333,0.16982635016727732,165.5,32.0
heterogeneous,24,30,0.8666666666666667,0.43333333333333335,0.05778414814420883,0.06981630496419147,-0.010310098576484109,0.8273637374860956,0.06564232471706122,0.028815989504374886,0.10255278239002881,0.10206765293138727,0.055,0.09,True,0.9333333333333333,0.15705005731753918,122.5,25.5
heterogeneous,25,30,0.8333333333333334,0.4666666666666667,0.07036306158052733,0.07987965868040699,-0.012961582608589662,0.6898776418242492,0.04149945274037949,0.011554038189509912,0.0717405312017039,0.0810553270307233,0.055,0.09,True,0.9,0.16079755587715072,159.0,33.0
