stage,specification,x,y,restriction,high_information,negative_control,method,bins,baseline_group,n,mean_followup_percentile,mean_percentile_ci90_low,mean_percentile_ci90_high,top_quartile_followup_rate
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,4,4,103,0.4974905380944545,0.44659947342438705,0.5444232351489221,0.24271844660194175
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,1,39,0.5551716644936985,0.4749891351586267,0.6364841373315949,0.41025641025641024
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,2,47,0.44523981247746114,0.3769834114677245,0.5147349441038588,0.1702127659574468
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,3,49,0.52564856451055,0.4579194050501556,0.5870044967139397,0.24489795918367346
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,4,51,0.5080923894981721,0.44332003988035884,0.5675141242937853,0.21568627450980393
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,5,46,0.5290346352247606,0.4728058216654385,0.5890825350036845,0.1956521739130435
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,6,53,0.4977454429165335,0.4352974096578191,0.555919411576591,0.22641509433962265
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,7,52,0.5017601043024771,0.4496414602346806,0.5566313559322035,0.21153846153846154
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,8,47,0.47419761990623877,0.4083014785430941,0.538166245943022,0.2127659574468085
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,9,42,0.574455205811138,0.510318805488297,0.6464951573849879,0.30952380952380953
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,10,38,0.4385816235504015,0.35898974130240857,0.5199620874219448,0.21052631578947367
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,4,1,122,0.4865101417060295,0.4429938871908863,0.5303042511808836,0.2540983606557377
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,4,2,111,0.5439227362956176,0.4982959230416857,0.5851755993281417,0.2882882882882883
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,4,3,110,0.4718489984591679,0.42439907550077044,0.5155385208012326,0.23636363636363636
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,4,4,121,0.5156254377363777,0.4729976187141056,0.5585677265723491,0.2809917355371901
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,1,49,0.45650294015911447,0.381245243860256,0.5268401937046006,0.22448979591836735
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,2,49,0.46414735385679695,0.39398996886890353,0.5289104116222759,0.20408163265306123
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,3,50,0.5292542372881356,0.46432711864406784,0.5937644067796611,0.3
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,4,45,0.5871374764595103,0.519361581920904,0.6536760828625235,0.37777777777777777
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,5,40,0.5433474576271187,0.46901271186440674,0.6123389830508474,0.25
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,6,41,0.5490905332782141,0.4727304671351799,0.6214820173625465,0.34146341463414637
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,7,47,0.4387847097006851,0.36894518571943735,0.5067237648755858,0.1702127659574468
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,8,43,0.39923137564052036,0.3286243594797004,0.47089081592432,0.16279069767441862
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,9,46,0.5401252763448784,0.47294583640383203,0.6098857774502578,0.3695652173913043
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,10,10,54,0.5397363465160074,0.4745103578154425,0.6022347771500313,0.25925925925925924
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,4,1,115,0.47211800191274916,0.43066872655043037,0.5136754211726624,0.17391304347826086
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,4,2,122,0.5294027904912486,0.4913809603062328,0.5681999112368589,0.2540983606557377
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,4,3,126,0.491123465742755,0.4534391534391534,0.5338577337308301,0.2222222222222222
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,4,4,102,0.4669718987425765,0.4182674761952158,0.515373577518994,0.23529411764705882
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,1,41,0.44626717840782476,0.3792167058726425,0.5145722421691222,0.14634146341463414
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,2,47,0.4607589012492351,0.40168124707491815,0.5237318644922059,0.14893617021276595
full_year,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,10,3,50,0.5380710659898478,0.4780693739424704,0.5918392554991538,0.28
