grouping,group,field,field_in_schema,n_all_pitches,populated_all_pitches,pct_all_pitches,n_swings,populated_swings,pct_swings,n_whiffs,populated_whiffs,pct_whiffs,n_contact,populated_contact,pct_contact
overall,all,bat_speed,True,2433934,1111645,45.67276680468739,1159797,1111644,95.84815273707382,268329,258712,96.41596696592616,891468,852932,95.67724248094154
overall,all,swing_length,True,2433934,1111645,45.67276680468739,1159797,1111644,95.84815273707382,268329,258712,96.41596696592616,891468,852932,95.67724248094154
overall,all,attack_angle,True,2433934,1111645,45.67276680468739,1159797,1111644,95.84815273707382,268329,258712,96.41596696592616,891468,852932,95.67724248094154
overall,all,attack_direction,True,2433934,1111645,45.67276680468739,1159797,1111644,95.84815273707382,268329,258712,96.41596696592616,891468,852932,95.67724248094154
overall,all,swing_path_tilt,True,2433934,1111633,45.67227377570632,1159797,1111632,95.84711807324902,268329,258712,96.41596696592616,891468,852920,95.67589638663418
overall,all,intercept_ball_minus_batter_pos_x_inches,True,2433934,1110329,45.61869795976391,1159797,1110328,95.7346846042885,268329,257711,96.04291746326338,891468,852617,95.64190750537315
overall,all,intercept_ball_minus_batter_pos_y_inches,True,2433934,1110329,45.61869795976391,1159797,1110328,95.7346846042885,268329,257711,96.04291746326338,891468,852617,95.64190750537315
overall,all,miss_distance,True,2433934,258011,10.600575036134916,1159797,258011,22.24622067482499,268329,257991,96.14726697449773,891468,20,0.0022434905122786235
season,2023,bat_speed,True,319018,144734,45.36859989091525,152057,144734,95.1840428260455,36130,33964,94.00498200941047,115927,110770,95.55151086459583
season,2023,swing_length,True,319018,144734,45.36859989091525,152057,144734,95.1840428260455,36130,33964,94.00498200941047,115927,110770,95.55151086459583
season,2023,attack_angle,True,319018,144734,45.36859989091525,152057,144734,95.1840428260455,36130,33964,94.00498200941047,115927,110770,95.55151086459583
season,2023,attack_direction,True,319018,144734,45.36859989091525,152057,144734,95.1840428260455,36130,33964,94.00498200941047,115927,110770,95.55151086459583
season,2023,swing_path_tilt,True,319018,144733,45.36828642897893,152057,144733,95.1833851779267,36130,33964,94.00498200941047,115927,110769,95.55064825277977
season,2023,intercept_ball_minus_batter_pos_x_inches,True,319018,144608,45.3291036869393,152057,144608,95.101179163077,36130,33851,93.69222252975366,115927,110757,95.54029691098708
season,2023,intercept_ball_minus_batter_pos_y_inches,True,319018,144608,45.3291036869393,152057,144608,95.101179163077,36130,33851,93.69222252975366,115927,110757,95.54029691098708
season,2023,miss_distance,True,319018,33900,10.626359641148776,152057,33900,22.294271227237154,36130,33900,93.82784389703848,115927,0,0.0
season,2024,bat_speed,True,711899,316997,44.528367085780424,340421,316997,93.11910839813055,78906,73447,93.08164144678479,261515,243550,93.13041316941667
season,2024,swing_length,True,711899,316997,44.528367085780424,340421,316997,93.11910839813055,78906,73447,93.08164144678479,261515,243550,93.13041316941667
season,2024,attack_angle,True,711899,316997,44.528367085780424,340421,316997,93.11910839813055,78906,73447,93.08164144678479,261515,243550,93.13041316941667
season,2024,attack_direction,True,711899,316997,44.528367085780424,340421,316997,93.11910839813055,78906,73447,93.08164144678479,261515,243550,93.13041316941667
season,2024,swing_path_tilt,True,711899,316995,44.52808614705176,340421,316995,93.11852089030936,78906,73447,93.08164144678479,261515,243548,93.12964839492955
season,2024,intercept_ball_minus_batter_pos_x_inches,True,711899,316728,44.49058082677458,340421,316728,93.04008859617943,78906,73211,92.78255139026183,261515,243517,93.11779439037913
season,2024,intercept_ball_minus_batter_pos_y_inches,True,711899,316728,44.49058082677458,340421,316728,93.04008859617943,78906,73211,92.78255139026183,261515,243517,93.11779439037913
season,2024,miss_distance,True,711899,73273,10.292611732844126,340421,73273,21.524230291315753,78906,73273,92.86112589663651,261515,0,0.0
season,2025,bat_speed,True,712528,330422,46.373195158646396,339177,330422,97.41875186112266,78324,77395,98.81390123078495,260853,253027,96.99984282335262
