season,component,n,rmse_current,rmse_history,mse_gain_pct,gain_ci90_low,gain_ci90_high
2024,attack_angle,159801,8.747367872841286,8.742230807586312,0.11741947767388979,0.06276510153908978,0.18325823612468237
2024,attack_direction,159801,13.869954548971375,13.874793393812993,-0.0697866585550277,-0.1346755427051324,0.005684758401214669
2024,swing_path_tilt,159801,3.639006266841656,3.6415412805487213,-0.13937303180746577,-0.25620659464657847,-0.009280066253392179
2024,bat_speed,159801,6.547059853047574,6.548732907545644,-0.05111510522911056,-0.11012693653692537,0.00833609259709614
2024,swing_length,159801,0.5487345391571371,0.548539952311626,0.07090945817746519,-0.004391120786854549,0.1518852658150354
2025,attack_angle,328151,8.951281511519841,8.951218998036348,0.0013967444800977965,-0.03967713364077486,0.04275098831920784
2025,attack_direction,328151,14.049708566154708,14.052624573560854,-0.04151417091800995,-0.08680609250037614,0.00299688034348686
2025,swing_path_tilt,328151,4.037216898569197,4.041177744531617,-0.1963129067294944,-0.28816036253701466,-0.10471725479020787
2025,bat_speed,328151,6.787266632535615,6.789941391222558,-0.07883249245003614,-0.11636685297252626,-0.0344368506581768
2025,swing_length,328151,0.5812414154850698,0.5805862880797706,0.22529647236228506,0.17047844715956148,0.2823372172613509
2026,attack_angle,316797,9.0211938140158,9.009796610778158,0.25251655087956437,0.20912114559319098,0.29780311229895795
2026,attack_direction,316797,14.187887936377408,14.193991168029957,-0.08605289807059405,-0.13620426692284016,-0.030150463895401804
2026,swing_path_tilt,316797,4.3114971101885535,4.304787193843584,0.3110147080721594,0.21153435955442293,0.42391426285282563
2026,bat_speed,316797,6.916984812105456,6.913730731773529,0.09406742917105783,0.04801241889280929,0.14241595584504851
2026,swing_length,316797,0.6068980995971732,0.6064865965075117,0.13556265261406536,0.07741288811806792,0.19348475898334858
