player_id,estimate,se,n,games,information
457705,0.2865316581438288,0.13107473554553142,157,35,24.241930601217184
467793,0.004330070653935887,0.2362913184566188,54,8,7.070759406568742
500743,-0.4019186429725065,0.1344269445633276,397,94,51.20534798581053
502054,0.08595547649134978,0.25422387543519426,45,12,7.025109327961217
502671,-0.11016220737649868,0.08504906671203898,694,97,108.13927014606179
506702,0.11541555906187667,0.2682233061438054,98,19,9.90182951944638
514888,-0.009869344877091214,0.08624221160258477,888,129,142.12113284887192
516782,0.18742749694836833,0.12674095219688855,336,55,48.23930616589884
518595,-0.10722833604884112,0.28187466568763875,151,30,16.975473999920197
518692,0.04784977608361744,0.05489707154912891,1302,148,233.3682264294311
519317,0.0872782907903378,0.19417017980220688,172,24,30.790591820545355
521692,0.019519440427326253,0.071342540523471,1245,146,195.69844513389359
542303,0.11147234166062511,0.1027928331753939,522,69,80.53179470726499
543309,0.05861205049657955,0.1276646125291907,326,53,43.557333454374465
543510,0.04848790708933397,0.1880608364154889,273,42,30.209562171210052
543760,-0.04406165098349138,0.06745624287681394,965,134,137.35072288386863
543807,0.09219631537870862,0.07723389110807707,933,120,161.15602340715753
543877,-0.007452017937601191,0.09851486186456923,468,82,68.00933914133296
545121,0.06085236037052593,0.06046421689207777,796,127,102.7533311859716
545341,0.17494425908965255,0.10200261246237532,497,107,73.03363400978992
545361,0.13047760975037864,0.07769594301344024,1026,137,175.61144286379118
547180,-0.06632655660809181,0.05893121370395122,1285,154,230.7415763033842
553869,0.11287840569530518,0.10526888770348647,476,71,52.22254064142757
553993,0.11763323373158298,0.08636458557206529,889,120,122.59747431535516
571448,0.05318622877097317,0.06864717305350494,1030,144,161.1877705896864
571771,0.1557064515320045,0.1898393533992266,164,33,22.96613445469351
571912,0.13028945733696412,0.15637628218490374,70,15,16.375593438957235
571970,-0.17744653356815565,0.07907965190628974,951,143,147.55685772743834
572233,-0.01612727288337525,0.06631071340713147,1183,149,183.07021477679734
573262,-0.0009468762070307451,0.0759761865313103,691,130,99.93225650562992
575929,0.06064717021462579,0.06193701210609366,987,127,171.4731535375131
592206,0.2047681847625826,0.19915867520500236,263,39,27.50483033804462
592450,0.011958579196465086,0.07389826080244777,516,66,91.92506475314636
592518,0.08824032848753868,0.09833303761364683,1177,150,199.5761697763121
592626,0.06147701942598886,0.07313258359722855,783,134,132.9628478518469
592663,0.11027595784652824,0.08360692148095668,780,115,124.42728990427034
592885,-0.22061089237766332,0.07186029779616575,848,108,156.5087194945283
593428,0.029525482454609408,0.08970093813778651,828,145,122.79581556253189
593871,-0.2149674871064733,0.14338926063858215,251,37,40.302419663536114
595879,0.18277933127576726,0.15058230035661832,354,53,44.70133578798321
595978,-0.05905067681903022,0.14529867638026608,381,71,53.51496396583346
596019,1.101353862512787e-05,0.07012788211391213,840,98,135.62468891071816
596103,-0.08117842727608245,0.19599569397134953,131,28,21.039854216438805
596115,0.13225772896737786,0.1387617665477573,511,60,69.0501318742557
596117,0.5417227482976205,0.3886334460688587,113,20,14.124312475554069
596142,0.2968408995648926,0.14450236296882654,379,80,46.464602949993306
596146,-0.19792089557082043,0.15942774759733522,275,40,42.005141746517936
602104,0.04914448120825038,0.20832826662464107,171,34,19.32893119014078
605137,0.08081422985214916,0.05822875804658166,1164,148,195.46824633006344
605141,0.13791492036074923,0.12895079609274232,718,116,106.758980129154
605170,0.29917798738180845,0.10760159035549786,593,102,76.73290805922909
606115,-0.37454505715887737,0.10824301188946625,83,17,15.956723654883524
606192,0.00249620968954841,0.08023626490713268,869,119,124.14496319758824
606466,-0.006987090628496764,0.05445213693110836,1019,133,171.16501081354102
606992,-0.13203641513959155,0.20569378749857425,149,26,20.329184665307928
607043,0.17579942416949423,0.08438680808171031,1193,149,185.06165578634602
607208,0.05600347935822016,0.06656128656463196,1236,149,216.66348914794168
608070,0.043963921104641535,0.07955380759287797,918,119,147.42012585536924
608324,0.11172701555592238,0.06314427578948402,1125,153,199.62740350974966
608348,0.08962826537316006,0.052428078726539255,707,110,99.25866483985763
608369,-0.12550651374082458,0.06706760142569387,777,95,133.89047433631123
608701,0.25079841753862026,0.15957692515833183,227,52,30.34679489985033
609280,-0.12193926778118475,0.16545664572944097,480,70,62.7718015964227
620443,-0.036235677964573124,0.11313437675637697,498,83,63.01674469910737
621020,-0.11886657334160339,0.06801919402324913,842,120,119.89568952392867
621043,0.07381534859025426,0.16012303240242343,254,32,38.6086384194829
621438,0.19073231648712674,0.11624356117541006,407,84,67.42834903808384
621439,-0.07665809936797766,0.08881653076795692,762,92,113.17577074164771
621493,-0.013296703016507504,0.08233498242383483,835,139,142.52689073263556
621550,0.4738583774876188,0.22731307290663827,104,18,11.962338815385586
621566,0.037413456546244714,0.0629179888000905,1293,155,221.5934738064527
622268,-0.1371510959613924,0.1185642681916226,473,76,67.59075509117429
622761,-0.12485939341532845,0.08496303543915547,418,73,69.16517043881589
623168,-0.00896048550072691,0.122049598970097,343,64,36.618380718942724
624413,0.05575450315149303,0.0542839792607884,1215,156,185.2425692671183
624424,-0.027003850401992182,0.10105049066996023,498,104,80.8172362291269
624428,0.3409606081515564,0.21663396051907702,285,57,31.457357503552306
624431,-0.1336553239735623,0.1666121782370012,255,46,26.70914096925415
624512,-0.5244000079738396,0.21702812665759114,53,10,4.194968722878082
624585,0.021306288342488117,0.07098298386367236,685,86,118.52569819993904
624641,0.016695540100468413,0.08763849791447617,526,80,74.52305008610492
628451,0.325852442319525,0.1284268081579225,51,12,9.44544415535361
630105,-0.1256210025654179,0.08792045977104439,695,100,120.12492241863137
640459,0.08250060320144188,0.1813911874977778,113,22,17.777011894714818
640902,-0.010092925678389165,0.10662733044825493,181,28,31.673115513019738
641343,0.0019018309241078395,0.07939732532282387,887,133,158.55789919512284
641355,0.05440224842417223,0.07119638348800218,950,128,124.3975401997011
641487,0.2853248106133515,0.06548885189857831,735,110,123.56445385811236
641555,-0.15439969842968776,0.1861287145780071,154,28,19.220263241888958
641584,0.5212714506837387,0.26520082033191844,171,31,27.44102115141887
641598,0.04531010864928094,0.12518143383144015,258,47,36.724666070977655
641680,0.017080293120287995,0.07031593702098679,653,94,96.47289437956721
641857,0.025746046582687875,0.07952773697431939,638,109,90.67086490460981
641933,0.17595111536927546,0.08379069575329587,484,83,66.69598686004814
642020,-0.11810156776941381,0.22443187344127147,45,8,7.359109801788955
642086,-0.14455002454220658,0.1192796146524592,540,99,64.52106716710912
642201,-0.007856092971680986,0.0780529848675561,409,80,64.92517159399168
642215,-0.008947350897367841,0.1176973776445961,329,60,51.555763015058645
642350,0.09652131618588942,0.08377724227617935,461,85,57.405969979026764
642708,-0.1180819802992126,0.08929414654468662,453,81,72.5498661964366
642715,0.08722159093353586,0.07112843502742772,939,121,148.99609143819794
642851,0.0012915687417512636,0.10603809750986697,173,28,21.31465379957242
643217,-0.12139116941857435,0.14411871891731964,872,136,126.91846592601144
643289,0.04326376610188889,0.06415744112388491,1153,147,155.760227169505
643376,0.16324611181026966,0.1456415133005839,351,59,49.666616879781834
643396,-0.015035225045191104,0.1368343584777185,278,52,35.18945692238375
643446,-0.03340211321511618,0.07304723671221279,983,133,131.46933067585076
644433,-0.44285375199306626,0.4888498358350649,93,21,10.390786772865006
645277,-0.0277164137547702,0.06790428246068622,1333,155,208.81511683047336
645302,0.15495101172035022,0.15057730213716594,265,45,34.21499053572296
645305,0.1760748646086574,0.1599736781645363,135,34,15.465604941626282
646240,0.047591169034418825,0.05065446764359724,1200,148,196.84950369803892
647304,-0.042725604974199735,0.10673800492480437,1034,146,147.48596087006297
