player_id,player_name,n_exposures,adaptation_score,posterior_sd,raw_score,se,information,pitches_prior,swings_prior,whiffs_prior,in_zone_pitches_prior,out_zone_pitches_prior,chases_prior,zone_swings_prior,batted_balls_prior,hard_hits_prior,barrels_prior,tracked_swings_prior,mean_exit_velocity_prior,xwoba_on_contact_prior,mean_bat_speed_prior,p90_exit_velocity_prior,pa_prior,strikeouts_prior,walks_prior,woba_numerator_prior,woba_denominator_prior,chase_rate_prior,zone_swing_rate_prior,whiff_rate_prior,strikeout_rate_prior,walk_rate_prior,hard_hit_rate_prior,barrel_rate_prior,woba_prior,pitches_future,swings_future,whiffs_future,in_zone_pitches_future,out_zone_pitches_future,chases_future,zone_swings_future,batted_balls_future,hard_hits_future,barrels_future,tracked_swings_future,mean_exit_velocity_future,xwoba_on_contact_future,mean_bat_speed_future,p90_exit_velocity_future,pa_future,strikeouts_future,walks_future,woba_numerator_future,woba_denominator_future,chase_rate_future,zone_swing_rate_future,whiff_rate_future,strikeout_rate_future,walk_rate_future,hard_hit_rate_future,barrel_rate_future,woba_future,z_prior_hard_hit_rate,z_future_hard_hit_rate,z_prior_p90_exit_velocity,z_future_p90_exit_velocity,z_prior_mean_exit_velocity,z_future_mean_exit_velocity,z_prior_chase_rate,z_future_chase_rate,z_prior_strikeout_rate,z_future_strikeout_rate,z_prior_barrel_rate,z_future_barrel_rate,z_prior_walk_rate,z_future_walk_rate,z_prior_whiff_rate,z_future_whiff_rate,z_prior_xwoba_on_contact,z_future_xwoba_on_contact,authority_composite_prior,authority_composite_future,discipline_composite_prior,discipline_composite_future
683146,Brett Baty,794,0.0693925258099581,0.0303384416835064,0.1995861165823067,0.0546603069120041,184.0617355098076,1753,818,193,915,838,208,610,535,162,37,797,84.25794392523365,0.33385453379056784,72.7754077791719,104.9,432,108,33,145.45,431.0,0.24821002386634844,0.6666666666666666,0.23594132029339854,0.25,0.0763888888888889,0.30280373831775703,0.0691588785046729,0.33747099767981437,1836,899,245,915,921,266,633,574,136,29,888,83.45662020905922,0.3146444407894737,73.17556306306307,103.31000000000002,457,122,43,139.25,457.0,0.2888165038002172,0.6918032786885245,0.2725250278086763,0.26695842450765866,0.09409190371991247,0.23693379790940766,0.050522648083623695,0.30470459518599563,0.8654961690531622,-0.5274290462620886,0.7920439720265087,0.15253130017547165,0.5076102516087384,0.05467725535215575,-0.5969627125422501,0.1115344205365909,0.6347954811399007,0.9269533703358528,0.9001703607310848,0.08178252500380823,-0.18213363303653213,0.44619114232776824,0.25265493827156227,0.8875408864535819,0.31133166471474855,-0.27473279446384524,0.6753304836268486,-0.10263415203889965,-0.11815533497643625,-0.36995938374956433
669127,Shea Langeliers,988,0.0684009129066919,0.028701756684755,0.1517558252590336,0.0439303504332306,231.3755756611003,1924,1009,230,954,970,311,698,701,201,43,989,84.83295292439372,0.3286809920557931,72.52254802831143,105.3,521,102,35,191.1,520.0,0.32061855670103095,0.7316561844863732,0.22794846382556988,0.19577735124760076,0.0671785028790787,0.2867332382310984,0.06134094151212553,0.3675,1657,841,223,741,916,306,535,563,155,42,777,84.69325044404974,0.3581351940639269,73.95855855855856,105.1,439,102,32,154.15,438.0,0.33406113537117904,0.7219973009446694,0.26516052318668254,0.23234624145785876,0.07289293849658314,0.2753108348134991,0.07460035523978685,0.3519406392694064,0.525659748150688,0.2841147635758966,0.9529276630582137,0.8724858175423583,0.8326231566397213,0.7536589855694317,0.6664129360578334,0.900957483245805,-0.29934640208517166,0.33065845297919455,0.5568549803869711,1.1391263227361696,-0.5090335297982341,-0.30621375531496137,0.11394422243881096,0.7597347996081523,0.15349646117586163,1.0520897667601077,0.6043124018822912,0.8202951312367928,-0.2475110715524267,-0.5743911227870283
663616,Trevor Larnach,955,0.0640221853951578,0.0313885774382979,0.2253030145001693,0.0646296773301009,219.49503343426971,2191,976,264,1074,1117,307,669,650,201,28,956,84.97692307692307,0.3184466289785099,70.14864016736402,104.12,565,122,51,185.8,565.0,0.2748433303491495,0.6229050279329609,0.27049180327868855,0.215929203539823,0.09026548672566372,0.30923076923076925,0.043076923076923075,0.3288495575221239,1692,746,189,796,896,266,480,513,147,23,724,83.81169590643275,0.3271211600928074,70.19185082872929,103.68,434,79,44,152.05,431.0,0.296875,0.6030150753768844,0.25335120643431636,0.18202764976958524,0.10138248847926268,0.28654970760233917,0.04483430799220273,0.35278422273781906,1.0014060144674228,0.5217786995419205,0.4783207745146766,0.30134871437979815,0.9139995482782302,0.2553770427952098,-0.13226788259871625,0.2521381237822593,0.04782751294599002,-0.536224760630643,-0.24518760983481894,-0.16801414691545957,0.31038192444538804,0.7049524366563146,0.8522556250281468,0.5547919501012579,-0.15873505491225506,0.10590886877094034,0.3979607345026511,0.20327983571448183,-0.11435833273250812,0.10856178085086007
666969,Adolis García,1108,0.0623274499239353,0.0297349530430011,0.1688041081801671,0.0539685172596383,261.3220318007139,2150,1122,316,1033,1117,400,722,732,198,44,1108,84.40983606557377,0.3036135186371105,70.39963898916967,103.78999999999999,548,135,27,160.2,545.0,0.35810205908683973,0.6989351403678606,0.2816399286987522,0.24635036496350365,0.04927007299270073,0.27049180327868855,0.060109289617486336,0.29394495412844035,1082,491,154,501,581,173,318,299,83,14,488,84.84682274247491,0.2936550579150579,69.89344262295081,103.42,259,84,21,70.1,259.0,0.2977624784853701,0.6347305389221557,0.3136456211812627,0.32432432432432434,0.08108108108108109,0.27759197324414714,0.046822742474916385,0.27065637065637066,0.1822086361887504,0.3323530832096509,0.345591729413512,0.19677431520918554,0.5934643962489585,0.8404628076250165,1.3204207205629117,0.26762274504413347,0.5719199664883585,1.9152468403273895,0.5027684561462805,-0.08069441776274923,-1.1446490050655709,-0.015595863438176165,1.04572393806923,1.6011614756806096,-0.6112658568023603,-0.9150801015844442,0.20255347223902823,0.07476313733933189,-1.0206784075465178,-0.9499067311225773
514888,Jose Altuve,1070,0.0603752425490635,0.029044573898115,0.1583955234858657,0.0529661726160358,259.96704822242765,2314,1157,212,1040,1274,495,662,858,184,30,1097,80.8527972027972,0.2997744415308728,66.61312670920694,100.53,649,109,50,221.5,647.0,0.38854003139717425,0.6365384615384615,0.18323249783923942,0.1679506933744222,0.07704160246533127,0.21445221445221446,0.03496503496503497,0.34234930448222567,1936,947,193,870,1066,392,555,688,146,17,905,80.00886627906976,0.27263262523191095,65.74276243093922,100.1,545,107,39,174.0,539.0,0.3677298311444653,0.6379310344827587,0.20380147835269272,0.1963302752293578,0.07155963302752294,0.21220930232558138,0.024709302325581394,0.3228200371057514,-1.0028380762931717,-1.0502680396050492,-0.9656103524949088,-1.1385603203539982,-1.4170841965344996,-1.8941001068364145,1.8514989167947946,1.4884049662269854,-0.7787410312226984,-0.2898206879881454,-0.601411503055827,-1.0517797722268343,-0.15896717719779663,-0.35353613895049524,-0.6620716707631163,-0.30511067409628845,-0.7283890090892323,-1.5564356973311786,-0.9430666274935279,-1.338228787270695,-0.14241334800169414,-0.3117524357732617
670042,Luke Raley,438,0.0557553207451618,0.0302282530609211,0.1875984586083673,0.0663231145991344,99.98565350615073,831,448,170,415,416,113,335,240,68,13,442,83.28166666666667,0.31172835504092855,71.57239819004525,104.02,219,64,19,66.0,216.0,0.27163461538461536,0.8072289156626506,0.3794642857142857,0.2922374429223744,0.0867579908675799,0.2833333333333333,0.05416666666666667,0.3055555555555556,1104,597,230,511,593,205,392,323,94,27,586,83.54798761609906,0.34190325704225355,72.85085324232082,103.78,286,93,14,91.25,284.0,0.3456998313659359,0.7671232876712328,0.3852596314907873,0.32517482517482516,0.04895104895104895,0.29102167182662536,0.08359133126934984,0.32130281690140844,0.45376332267327063,0.6163455336908454,0.43809985175674604,0.341569637137723,-0.04421190836793533,0.10632094515621703,-0.18825316763061206,1.1040280955838049,1.3624575445386848,1.9298991762875761,0.24180525568212,1.5339543135727212,0.1858920243827386,-1.1559719752613247,2.743400687566712,2.8439750647486943,-0.3636971850600888,0.556883346286966,0.14515186733682253,0.6310147551688944,-0.9329282600230115,-1.75846857797035
686797,Brooks Lee,949,0.0542451841012981,0.0303865286483893,0.1731071943749631,0.0647940608357689,212.49057276382743,2009,1000,227,979,1030,328,672,713,191,23,949,84.03997194950912,0.2887856099748035,67.349947312961,100.5,528,92,31,156.05,527.0,0.31844660194174756,0.686414708886619,0.227,0.17424242424242425,0.058712121212121215,0.26788218793828894,0.03225806451612903,0.29611005692599623,2271,1214,221,1082,1189,421,793,898,202,19,1158,83.14521158129175,0.2775269320066335,68.06131260794473,99.8,606,98,35,199.2,603.0,0.3540790580319596,0.732902033271719,0.18204283360790774,0.1617161716171617,0.057755775577557754,0.22494432071269488,0.021158129175946547,0.33034825870646767,0.12702414706698176,-0.7809657126415769,-0.9776766293222874,-1.2592230886277784,0.38440573628975594,-0.12134055116958806,0.6285169223517614,1.2502278666539381,-0.6703477775360515,-0.886148692584452,-0.7202848823286887,-1.207725306412758,-0.809526830505248,-0.8434699561108753,0.097484262633977,-0.6827175034254245,-1.063637965070111,-1.407119436716589,-0.45003391867286985,-0.955274819113658,-0.21629505948873373,-0.13120790668873425
679529,Spencer Torkelson,1153,0.053207191196263,0.0289917352780805,0.1482320426525299,0.0588966049598499,271.58336522929915,2634,1174,279,1341,1293,289,885,813,229,54,1153,84.66285362853628,0.3338547145408792,71.61266261925411,103.2,643,169,66,220.05,643.0,0.22351121423047177,0.6599552572706935,0.23764906303236796,0.26283048211508553,0.1026438569206843,0.2816728167281673,0.06642066420664207,0.3422239502332815,2498,1064,318,1196,1302,283,781,684,182,40,1056,83.9687134502924,0.3137947619047619,71.46297348484848,102.0,590,184,67,194.35,589.0,0.217357910906298,0.653010033444816,0.29887218045112784,0.31186440677966104,0.1135593220338983,0.26608187134502925,0.05847953216374269,0.3299660441426146,0.4186490439074702,0.08895357401414804,0.10828828514174631,-0.3743627879533804,0.7364777634874295,0.344128224333585,-1.0279046667815097,-1.1352667866018342,0.8558376286823752,1.7005887388179923,0.7799249450813694,0.43119960100789406,0.7497215932193515,1.1371390602847902,0.28229167937082833,1.3447782230552279,0.311337179072929,-0.300654928001445,0.4709354433381889,0.037852736680160336,0.1598742379869144,-0.19324027874664895
630105,Jake Cronenworth,893,0.0509251190033685,0.029910641828015,0.1591931205988123,0.0647065032392051,187.0904369106356,2184,932,151,1118,1066,237,695,696,157,20,904,81.08031609195403,0.3191044982657301,68.1304203539823,101.1,516,107,68,175.7,509.0,0.2223264540337711,0.6216457960644007,0.16201716738197425,0.20736434108527133,0.13178294573643412,0.22557471264367815,0.028735632183908046,0.34518664047151276,1652,755,143,801,851,247,508,542,108,10,710,81.18376383763838,0.274819325,68.30957746478873,100.28,406,90,36,119.1,400.0,0.2902467685076381,0.634207240948814,0.18940397350993377,0.22167487684729065,0.08866995073891626,0.1992619926199262,0.01845018450184502,0.29774999999999996,-0.767635067270497,-1.3240596059507963,-0.7363510927747269,-1.0661626593897267,-1.2884834698983998,-1.2300115983400615,-1.0485762247228871,0.13648951259091022,-0.09972700397540261,0.146813346492094,-0.8749682977905492,-1.3266414676233462,1.7839415613567111,0.25375231643636686,-1.0302496414548712,-0.5549698090604782,-0.13866467794932374,-1.4897235259274237,-0.7612205211366994,-1.287319771446271,0.990623607877468,0.1313548166034602
682985,Riley Greene,1384,0.0496051781757621,0.0318359832278343,0.2474449139970715,0.0900200509932144,335.41455804044574,2706,1423,396,1364,1342,420,1003,911,231,69,1385,82.33622392974753,0.3321562850050982,74.16064981949458,104.4,655,201,45,226.75,654.0,0.31296572280178836,0.7353372434017595,0.2782853127196065,0.3068702290076336,0.06870229007633588,0.2535675082327113,0.07574094401756312,0.3467125382262997,2373,1102,304,1117,1256,330,772,717,196,53,1075,83.1771269177127,0.3741427826855124,74.07609302325582,104.64,567,152,62,211.85,566.0,0.2627388535031847,0.6911369740376008,0.27586206896551724,0.26807760141093473,0.10934744268077601,0.2733612273361227,0.07391910739191074,0.37429328621908126,-0.1756826443381792,0.24288719606377399,0.590939358236873,0.687469572855896,-0.5786054411915623,-0.10330101401388034,0.5328871813907907,-0.34346538498631574,1.6145495884543526,0.9462344280514637,1.1892139187901891,1.1092101358667754,-0.4549504678136864,0.9876488082756024,0.9875068055979775,0.9454530195554168,0.259521230691848,1.5404517318858648,0.25707728443783373,0.695343524531686,-0.8974735108142018,-0.14014331358624058
